ADDRESS,BLK_NO,BUILDING,LATITUDE,LONGITUDE,LONGTITUDE,POSTAL,ROAD_NAME,SEARCHVAL,X,Y
1 TOA PAYOH LINK SINGAPORE 297608,1,NIL,1.33667236615693,103.83997505358,103.83997505358,297608,TOA PAYOH LINK,1 TOA PAYOH LINK SINGAPORE 297608,28740.7950736713,35427.9564094208
89A KHEAM HOCK ROAD SINGAPORE 297613,89A,NIL,1.32975879226285,103.81964681055,103.81964681055,297613,KHEAM HOCK ROAD,89A KHEAM HOCK ROAD SINGAPORE 297613,26478.4728057878,34663.4920495544
198 LORNIE ROAD CALDECOTT HILL ESTATE SINGAPORE 297619,198,CALDECOTT HILL ESTATE,1.33916182619884,103.833865365262,103.833865365262,297619,LORNIE ROAD,CALDECOTT HILL ESTATE,28060.851455288,35703.2271647435
182A LORNIE ROAD SINGAPORE 297624,182A,NIL,1.33992532973199,103.833177490771,103.833177490771,297624,LORNIE ROAD,182A LORNIE ROAD SINGAPORE 297624,27984.2983973017,35787.6514724307
182B LORNIE ROAD SINGAPORE 297625,182B,NIL,1.33991301504106,103.833314491779,103.833314491779,297625,LORNIE ROAD,182B LORNIE ROAD SINGAPORE 297625,27999.5451373998,35786.2897763792
182C LORNIE ROAD SINGAPORE 297626,182C,NIL,1.33992714567831,103.83344925089,103.83344925089,297626,LORNIE ROAD,182C LORNIE ROAD SINGAPORE 297626,28014.5423785085,35787.8522702344
182D LORNIE ROAD SINGAPORE 297627,182D,NIL,1.33998893484582,103.833612213898,103.833612213898,297627,LORNIE ROAD,182D LORNIE ROAD SINGAPORE 297627,28032.678409528,35794.6846016645
170 LORNIE ROAD SINGAPORE 297628,170,NIL,1.3406798477552,103.828486246781,103.828486246781,297628,LORNIE ROAD,170 LORNIE ROAD SINGAPORE 297628,27462.2135131583,35871.0827481095
4A BERRIMA ROAD DUNEARN ESTATE SINGAPORE 297629,4A,DUNEARN ESTATE,1.32317634796096,103.823453303887,103.823453303887,297629,BERRIMA ROAD,DUNEARN ESTATE,26902.093456924,33935.637088405
4B BERRIMA ROAD DUNEARN ESTATE SINGAPORE 297630,4B,DUNEARN ESTATE,1.32316688385436,103.823574673118,103.823574673118,297630,BERRIMA ROAD,DUNEARN ESTATE,26915.6006354615,33934.5905425996
29A BERRIMA ROAD SINGAPORE 297631,29A,NIL,1.32594104845345,103.82255416345,103.82255416345,297631,BERRIMA ROAD,29A BERRIMA ROAD SINGAPORE 297631,26802.0294399057,34241.3439055588
29B BERRIMA ROAD SINGAPORE 297632,29B,NIL,1.32586481341136,103.822396696673,103.822396696673,297632,BERRIMA ROAD,29B BERRIMA ROAD SINGAPORE 297632,26784.5049432293,34232.9143023603
31A BERRIMA ROAD SINGAPORE 297633,31A,NIL,1.32607619319689,103.822138365607,103.822138365607,297633,BERRIMA ROAD,31A BERRIMA ROAD SINGAPORE 297633,26755.7554134512,34256.2877236754
10A DENHAM ROAD TEMPORARY SITE OFFICE SINGAPORE 297634,10A,TEMPORARY SITE OFFICE,1.32774896894613,103.834848535251,103.834848535251,297634,DENHAM ROAD,TEMPORARY SITE OFFICE,28170.2685214188,34441.2519216202
12A DENHAM ROAD TEMPORARY SITE OFFICE SINGAPORE 297635,12A,TEMPORARY SITE OFFICE,1.3278425667927,103.836703207542,103.836703207542,297635,DENHAM ROAD,TEMPORARY SITE OFFICE,28376.6746195666,34451.601695437
131C WHITLEY ROAD THE WHITLEY RESIDENCES SINGAPORE 297644,131C,THE WHITLEY RESIDENCES,1.32620540069287,103.837943319425,103.837943319425,297644,WHITLEY ROAD,THE WHITLEY RESIDENCES,28514.6867579548,34270.5724867135
131D WHITLEY ROAD THE WHITLEY RESIDENCES SINGAPORE 297645,131D,THE WHITLEY RESIDENCES,1.32629382240066,103.837970763971,103.837970763971,297645,WHITLEY ROAD,THE WHITLEY RESIDENCES,28517.7410396561,34280.3497113511
131E WHITLEY ROAD THE WHITLEY RESIDENCES SINGAPORE 297646,131E,THE WHITLEY RESIDENCES,1.32635007914752,103.83798359392,103.83798359392,297646,WHITLEY ROAD,THE WHITLEY RESIDENCES,28519.1688712519,34286.5702965595
131F WHITLEY ROAD THE WHITLEY RESIDENCES SINGAPORE 297647,131F,THE WHITLEY RESIDENCES,1.3264259680111,103.83800121283,103.83800121283,297647,WHITLEY ROAD,THE WHITLEY RESIDENCES,28521.1296615051,34294.9617015626
131G WHITLEY ROAD THE WHITLEY RESIDENCES SINGAPORE 297648,131G,THE WHITLEY RESIDENCES,1.32648222503147,103.838014042508,103.838014042508,297648,WHITLEY ROAD,THE WHITLEY RESIDENCES,28522.5574628329,34301.182317039
131H WHITLEY ROAD THE WHITLEY RESIDENCES SINGAPORE 297649,131H,THE WHITLEY RESIDENCES,1.32655803779698,103.838031664683,103.838031664683,297649,WHITLEY ROAD,THE WHITLEY RESIDENCES,28524.5186163019,34309.5653075427
131J WHITLEY ROAD THE WHITLEY RESIDENCES SINGAPORE 297650,131J,THE WHITLEY RESIDENCES,1.32661429509085,103.838044494634,103.838044494634,297650,WHITLEY ROAD,THE WHITLEY RESIDENCES,28525.9464478977,34315.785953287
