ADDRESS,BLK_NO,BUILDING,LATITUDE,LONGITUDE,LONGTITUDE,POSTAL,ROAD_NAME,SEARCHVAL,X,Y
517E JURONG WEST STREET 52 SINGAPORE 645517,517E,NIL,1.34456777104819,103.719018884939,103.719018884939,645517,JURONG WEST STREET 52,517E JURONG WEST STREET 52 SINGAPORE 645517,15279.6877063084,36301.2866857033
660E JURONG WEST STREET 64 SINGAPORE 645660,660E,NIL,1.33629061551274,103.703826495343,103.703826495343,645660,JURONG WEST STREET 64,660E JURONG WEST STREET 64 SINGAPORE 645660,13588.8889272567,35386.1232410017
663E JURONG WEST STREET 64 SINGAPORE 645663,663E,NIL,1.33811999021618,103.702752649934,103.702752649934,645663,JURONG WEST STREET 64,663E JURONG WEST STREET 64 SINGAPORE 645663,13469.3917447766,35588.4129841682
664E JURONG WEST STREET 64 SINGAPORE 645664,664E,NIL,1.33898676155086,103.702538217629,103.702538217629,645664,JURONG WEST STREET 64,664E JURONG WEST STREET 64 SINGAPORE 645664,13445.5327644674,35684.2576442566
667E JURONG WEST STREET 65 SINGAPORE 645667,667E,NIL,1.3420378016685,103.702509787165,103.702509787165,645667,JURONG WEST STREET 65,667E JURONG WEST STREET 65 SINGAPORE 645667,13442.3867707755,36021.6271030121
668E JURONG WEST STREET 64 SINGAPORE 645668,668E,NIL,1.34121279918765,103.702729473013,103.702729473013,645668,JURONG WEST STREET 64,668E JURONG WEST STREET 64 SINGAPORE 645668,13466.8306193342,35930.4010042902
517F JURONG WEST STREET 52 SINGAPORE 646517,517F,NIL,1.34467699079129,103.71977049771,103.71977049771,646517,JURONG WEST STREET 52,517F JURONG WEST STREET 52 SINGAPORE 646517,15363.3347019069,36313.3597671743
20A JURONG WEST STREET 64 TEMPORARY SITE OFFICE SINGAPORE 648104,20A,TEMPORARY SITE OFFICE,1.33782429734832,103.705162579112,103.705162579112,648104,JURONG WEST STREET 64,TEMPORARY SITE OFFICE,13737.5901435586,35555.7025557719
11 BULIM WALK SINGAPORE 648105,11,NIL,1.35829443032679,103.702302208198,103.702302208198,648105,BULIM WALK,11 BULIM WALK SINGAPORE 648105,13419.3822859153,37819.208029408
1 BULIM LANE 2 BULIM SQUARE SINGAPORE 648110,1,BULIM SQUARE,1.35635676591016,103.703778064113,103.703778064113,648110,BULIM LANE 2,BULIM SQUARE,13583.6169103887,37604.9415780324
3 BULIM LANE 2 BULIM SQUARE SINGAPORE 648111,3,BULIM SQUARE,1.35696552166429,103.70430344885,103.70430344885,648111,BULIM LANE 2,BULIM SQUARE,13642.0899331253,37672.2517320998
2 BULIM LANE 1 BULIM SQUARE SINGAPORE 648115,2,BULIM SQUARE,1.35719515406396,103.702895984202,103.702895984202,648115,BULIM LANE 1,BULIM SQUARE,13485.4562955266,37697.6517765317
4 BULIM LANE 1 BULIM SQUARE SINGAPORE 648116,4,BULIM SQUARE,1.35777902666706,103.703457032096,103.703457032096,648116,BULIM LANE 1,BULIM SQUARE,13547.8980865562,37762.2102379296
10A JURONG WEST STREET 76 SINGAPORE 648120,10A,NIL,1.3477100894838,103.703728047548,103.703728047548,648120,JURONG WEST STREET 76,10A JURONG WEST STREET 76 SINGAPORE 648120,13577.9995963629,36648.8340869322
20 JURONG WEST STREET 26 MASJID MAAROF SINGAPORE 648125,20,MASJID MAAROF,1.34852417861926,103.705022920302,103.705022920302,648125,JURONG WEST STREET 26,MASJID MAAROF,13722.1096740905,36738.8445023559
22 JURONG WEST STREET 26 JURONG FIRE STATION SINGAPORE 648126,22,JURONG FIRE STATION,1.34802903340054,103.705191765813,103.705191765813,648126,JURONG WEST STREET 26,JURONG FIRE STATION,13740.8974656034,36684.0927466098
8 JURONG LAKE LINK LAKE GRANDE SINGAPORE 648130,8,LAKE GRANDE,1.3461174655128,103.724023037201,103.724023037201,648130,JURONG LAKE LINK,LAKE GRANDE,15836.6037753951,36472.6187891439
10 JURONG LAKE LINK LAKE GRANDE SINGAPORE 648131,10,LAKE GRANDE,1.34594578766091,103.724619105198,103.724619105198,648131,JURONG LAKE LINK,LAKE GRANDE,15902.9388463655,36453.632530462
10 JURONG WEST STREET 65 SINGAPORE 648135,10,NIL,1.34190096421275,103.700263646805,103.700263646805,648135,JURONG WEST STREET 65,10 JURONG WEST STREET 65 SINGAPORE 648135,13192.4142081216,36006.5097585432
36 JURONG WEST STREET 24 SAINT JOSEPH'S HOME SINGAPORE 648141,36,SAINT JOSEPH'S HOME,1.34990160884022,103.708190847405,103.708190847405,648141,JURONG WEST STREET 24,SAINT JOSEPH'S HOME,14074.6733882604,36891.1357134022
180 WESTWOOD AVENUE WESTWOOD RESIDENCES SINGAPORE 648145,180,WESTWOOD RESIDENCES,1.35189778502259,103.696214899323,103.696214899323,648145,WESTWOOD AVENUE,WESTWOOD RESIDENCES,12741.8934010118,37111.9351761136
182 WESTWOOD AVENUE WESTWOOD RESIDENCES SINGAPORE 648146,182,WESTWOOD RESIDENCES,1.35209459951596,103.696364769558,103.696364769558,648146,WESTWOOD AVENUE,WESTWOOD RESIDENCES,12758.5735420147,37133.6970391721
184 WESTWOOD AVENUE WESTWOOD RESIDENCES SINGAPORE 648147,184,WESTWOOD RESIDENCES,1.35232862572599,103.696534580674,103.696534580674,648147,WESTWOOD AVENUE,WESTWOOD RESIDENCES,12777.4731131913,37159.573471399
186 WESTWOOD AVENUE WESTWOOD RESIDENCES SINGAPORE 648148,186,WESTWOOD RESIDENCES,1.35253181543266,103.696689425324,103.696689425324,648148,WESTWOOD AVENUE,WESTWOOD RESIDENCES,12794.7068858845,37182.0402455293
188 WESTWOOD AVENUE WESTWOOD RESIDENCES SINGAPORE 648149,188,WESTWOOD RESIDENCES,1.35270661190301,103.696890988435,103.696890988435,648149,WESTWOOD AVENUE,WESTWOOD RESIDENCES,12817.1397296051,37201.3671401013
190 WESTWOOD AVENUE WESTWOOD RESIDENCES SINGAPORE 648150,190,WESTWOOD RESIDENCES,1.35254412517789,103.697100946172,103.697100946172,648150,WESTWOOD AVENUE,WESTWOOD RESIDENCES,12840.5047061518,37183.3988239784
192 WESTWOOD AVENUE WESTWOOD RESIDENCES SINGAPORE 648151,192,WESTWOOD RESIDENCES,1.35217106573849,103.696881352302,103.696881352302,648151,WESTWOOD AVENUE,WESTWOOD RESIDENCES,12816.0640054634,37142.1490709446
194 WESTWOOD AVENUE WESTWOOD RESIDENCES SINGAPORE 648152,194,WESTWOOD RESIDENCES,1.35192614346486,103.696737380882,103.696737380882,648152,WESTWOOD AVENUE,WESTWOOD RESIDENCES,12800.0400440795,37115.0676400177
196 WESTWOOD AVENUE WESTWOOD RESIDENCES SINGAPORE 648153,196,WESTWOOD RESIDENCES,1.3516797907212,103.696550995949,103.696550995949,648153,WESTWOOD AVENUE,WESTWOOD RESIDENCES,12779.295911707,37087.8283010181
11 JURONG LAKE LINK LAKEVILLE SINGAPORE 648155,11,LAKEVILLE,1.3453622775704,103.725373856017,103.725373856017,648155,JURONG LAKE LINK,LAKEVILLE,15986.9315931415,36389.1071217004
13 JURONG LAKE LINK LAKEVILLE SINGAPORE 648156,13,LAKEVILLE,1.34565751147426,103.725314555002,103.725314555002,648156,JURONG LAKE LINK,LAKEVILLE,15980.3334753709,36421.7529279515
2 JURONG LAKE LINK LAKE GRANDE SINGAPORE 648157,2,LAKE GRANDE,1.34547449129535,103.724623449937,103.724623449937,648157,JURONG LAKE LINK,LAKE GRANDE,15903.4200467709,36401.5188716408
4 JURONG LAKE LINK LAKE GRANDE SINGAPORE 648158,4,LAKE GRANDE,1.34602434625291,103.724280865595,103.724280865595,648158,JURONG LAKE LINK,LAKE GRANDE,15865.2968251156,36462.3208341151
6 JURONG LAKE LINK LAKE GRANDE SINGAPORE 648159,6,LAKE GRANDE,1.34559854116926,103.724023040178,103.724023040178,648159,JURONG LAKE LINK,LAKE GRANDE,15836.6015355643,36415.2386827637
1 JURONG LAKE LINK LAKEVILLE SINGAPORE 648160,1,LAKEVILLE,1.34598605175358,103.725377841597,103.725377841597,648160,JURONG LAKE LINK,LAKEVILLE,15987.3781972416,36458.0809857603
3 JURONG LAKE LINK LAKEVILLE SINGAPORE 648161,3,LAKEVILLE,1.34624623602849,103.725962781746,103.725962781746,648161,JURONG LAKE LINK,LAKEVILLE,16052.4769724179,36486.8480104338
5 JURONG LAKE LINK LAKEVILLE SINGAPORE 648162,5,LAKEVILLE,1.34587822164476,103.725980156981,103.725980156981,648162,JURONG LAKE LINK,LAKEVILLE,16054.4088567467,36446.154704012
7 JURONG LAKE LINK LAKEVILLE SINGAPORE 648163,7,LAKEVILLE,1.34550996907361,103.725978113952,103.725978113952,648163,JURONG LAKE LINK,LAKEVILLE,16054.1796978414,36405.4351552501
9 JURONG LAKE LINK LAKEVILLE SINGAPORE 648164,9,LAKEVILLE,1.34513697879955,103.725971213636,103.725971213636,648164,JURONG LAKE LINK,LAKEVILLE,16053.4099527476,36364.191758493
10 BULIM AVENUE SINGAPORE 648165,10,NIL,1.35511929792051,103.708489201723,103.708489201723,648165,BULIM AVENUE,10 BULIM AVENUE SINGAPORE 648165,14107.9066355387,37468.0808034781
8 BULIM AVENUE SINGAPORE 648166,8,NIL,1.35287453988314,103.709300451913,103.709300451913,648166,BULIM AVENUE,8 BULIM AVENUE SINGAPORE 648166,14198.1770226732,37219.8616953865
12 BULIM AVENUE SINGAPORE 648167,12,NIL,1.35723605378345,103.706990831742,103.706990831742,648167,BULIM AVENUE,12 BULIM AVENUE SINGAPORE 648167,13941.1670024646,37702.1500831991
21 BULIM DRIVE SINGAPORE 648170,21,NIL,1.36042342069436,103.706218900879,103.706218900879,648170,BULIM DRIVE,21 BULIM DRIVE SINGAPORE 648170,13855.2783297244,38054.5982342064
1 BULIM DRIVE CUSTOMS OPERATIONS COMMAND SINGAPORE 648171,1,CUSTOMS OPERATIONS COMMAND,1.35467398054836,103.700598183573,103.700598183573,648171,BULIM DRIVE,CUSTOMS OPERATIONS COMMAND,13229.7216168111,37418.8864311501
3 BULIM DRIVE SINGAPORE BOY'S HOME SINGAPORE 648172,3,SINGAPORE BOY'S HOME,1.35531455743399,103.700829921054,103.700829921054,648172,BULIM DRIVE,SINGAPORE BOY'S HOME,13255.5152963717,37489.7169333305
7 BULIM STREET SINGAPORE 648175,7,NIL,1.35511237981041,103.707175143059,103.707175143059,648175,BULIM STREET,7 BULIM STREET SINGAPORE 648175,13961.6665392602,37467.3234077208
20A BULIM STREET TEMPORARY WORKER DORMITORY SINGAPORE 648176,20A,TEMPORARY WORKER DORMITORY,1.35955653173627,103.707779538451,103.707779538451,648176,BULIM STREET,TEMPORARY WORKER DORMITORY,14028.9545068946,37958.7327497471
2 JURONG WEST STREET 23 SINGAPORE 648195,2,NIL,1.35129149082578,103.709577797254,103.709577797254,648195,JURONG WEST STREET 23,2 JURONG WEST STREET 23 SINGAPORE 648195,14229.0335673336,37044.8142272141
21 JURONG WEST STREET 23 GOLAZO FUTSAL SINGAPORE SINGAPORE 648196,21,GOLAZO FUTSAL SINGAPORE,1.35284351489551,103.707107979873,103.707107979873,648196,JURONG WEST STREET 23,GOLAZO FUTSAL SINGAPORE,13954.1789665204,37216.4436833262
20 JURONG WEST STREET 61 FRONTIER PRIMARY SCHOOL SINGAPORE 648200,20,FRONTIER PRIMARY SCHOOL,1.33664853395126,103.699886714517,103.699886714517,648200,JURONG WEST STREET 61,FRONTIER PRIMARY SCHOOL,13150.4339978369,35425.7236007992
26 JURONG WEST STREET 61 NATIONAL UNIVERSITY POLYCLINICS (PIONEER POLYCLINIC) SINGAPORE 648201,26,NATIONAL UNIVERSITY POLYCLINICS (PIONEER POLYCLINIC),1.33856179501564,103.699014641414,103.699014641414,648201,JURONG WEST STREET 61,NATIONAL UNIVERSITY POLYCLINICS (PIONEER POLYCLINIC),13053.392814084,35637.2880898025
50 JURONG WEST STREET 61 JURONG WEST HAWKER CENTRE SINGAPORE 648202,50,JURONG WEST HAWKER CENTRE,1.34131234750021,103.697401874008,103.697401874008,648202,JURONG WEST STREET 61,JURONG WEST HAWKER CENTRE,12873.9254030529,35941.4408578686
107 WESTWOOD AVENUE THE WOODS SINGAPORE 648205,107,THE WOODS,1.35238754185252,103.697555859648,103.697555859648,648205,WESTWOOD AVENUE,THE WOODS,12891.1306027696,37166.0817537941
109 WESTWOOD AVENUE THE WOODS SINGAPORE 648206,109,THE WOODS,1.35238557106252,103.697635129186,103.697635129186,648206,WESTWOOD AVENUE,THE WOODS,12899.9524184996,37165.8633400239
111 WESTWOOD AVENUE THE WOODS SINGAPORE 648207,111,THE WOODS,1.3524957393571,103.697837534721,103.697837534721,648207,WESTWOOD AVENUE,THE WOODS,12922.4786086818,37178.0439636391
113 WESTWOOD AVENUE THE WOODS SINGAPORE 648208,113,THE WOODS,1.35246430538016,103.697882274409,103.697882274409,648208,WESTWOOD AVENUE,THE WOODS,12927.457449859,37174.5678673163
115 WESTWOOD AVENUE THE WOODS SINGAPORE 648209,115,THE WOODS,1.35243443237002,103.697924761502,103.697924761502,648209,WESTWOOD AVENUE,THE WOODS,12932.1856115954,37171.2643893063
117 WESTWOOD AVENUE THE WOODS SINGAPORE 648210,117,THE WOODS,1.35240317876448,103.697969212339,103.697969212339,648210,WESTWOOD AVENUE,THE WOODS,12937.1323081749,37167.8082395848
119 WESTWOOD AVENUE THE WOODS SINGAPORE 648211,119,THE WOODS,1.35237063465691,103.698026021312,103.698026021312,648211,WESTWOOD AVENUE,THE WOODS,12943.4543213975,37164.2093157861
121 WESTWOOD AVENUE THE WOODS SINGAPORE 648212,121,THE WOODS,1.35220833870198,103.698149608757,103.698149608757,648212,WESTWOOD AVENUE,THE WOODS,12957.2072456954,37146.2626412716
123 WESTWOOD AVENUE THE WOODS SINGAPORE 648213,123,THE WOODS,1.35221766865149,103.697721573152,103.697721573152,648213,WESTWOOD AVENUE,THE WOODS,12909.5716442605,37147.2969588116
123A WESTWOOD AVENUE THE WOODS SINGAPORE 648214,123A,THE WOODS,1.35221925597018,103.697667064643,103.697667064643,648214,WESTWOOD AVENUE,THE WOODS,12903.505456036,37147.4728157967
123B WESTWOOD AVENUE THE WOODS SINGAPORE 648215,123B,THE WOODS,1.3522208042954,103.697615248159,103.697615248159,648215,WESTWOOD AVENUE,THE WOODS,12897.7388603138,37147.6443444602
123C WESTWOOD AVENUE THE WOODS SINGAPORE 648216,123C,THE WOODS,1.35222244172325,103.697561069827,103.697561069827,648216,WESTWOOD AVENUE,THE WOODS,12891.7094174214,37147.8257404864
123D WESTWOOD AVENUE THE WOODS SINGAPORE 648217,123D,THE WOODS,1.35222398183426,103.697509253887,103.697509253887,648217,WESTWOOD AVENUE,THE WOODS,12885.9428822361,37147.9963611122
123E WESTWOOD AVENUE THE WOODS SINGAPORE 648218,123E,THE WOODS,1.35222562444135,103.697454733681,103.697454733681,648218,WESTWOOD AVENUE,THE WOODS,12879.8753924882,37148.1783322301
