ADDRESS,BLK_NO,BUILDING,LATITUDE,LONGITUDE,LONGTITUDE,POSTAL,ROAD_NAME,SEARCHVAL,X,Y
1 CHANGI VILLAGE ROAD SINGAPORE 500001,1,NIL,1.38854656229022,103.987804503483,103.987804503483,500001,CHANGI VILLAGE ROAD,1 CHANGI VILLAGE ROAD SINGAPORE 500001,45192.2992945565,41164.5011992659
2 CHANGI VILLAGE ROAD MARKET & HAWKER CENTRE (BLKS 2 & 3 CHANGI VILLAGE ROAD) SINGAPORE 500002,2,MARKET & HAWKER CENTRE (BLKS 2 & 3 CHANGI VILLAGE ROAD),1.38917686779496,103.988327815796,103.988327815796,500002,CHANGI VILLAGE ROAD,MARKET & HAWKER CENTRE (BLKS 2 & 3 CHANGI VILLAGE ROAD),45250.5328067383,41234.2012527902
3 CHANGI VILLAGE ROAD MARKET & HAWKER CENTRE (BLKS 2 & 3 CHANGI VILLAGE ROAD) SINGAPORE 500003,3,MARKET & HAWKER CENTRE (BLKS 2 & 3 CHANGI VILLAGE ROAD),1.38964922264534,103.988099613971,103.988099613971,500003,CHANGI VILLAGE ROAD,MARKET & HAWKER CENTRE (BLKS 2 & 3 CHANGI VILLAGE ROAD),45225.133397934,41286.4303839691
4 CHANGI VILLAGE ROAD SINGAPORE 500004,4,NIL,1.38909635615366,103.98746284567,103.98746284567,500004,CHANGI VILLAGE ROAD,4 CHANGI VILLAGE ROAD SINGAPORE 500004,45154.2731120568,41225.2923560701
5 CHANGI VILLAGE ROAD SINGAPORE 500005,5,NIL,1.38885339963623,103.986845986484,103.986845986484,500005,CHANGI VILLAGE ROAD,5 CHANGI VILLAGE ROAD SINGAPORE 500005,45085.6262027575,41198.4228918329
