ADDRESS,BLK_NO,BUILDING,LATITUDE,LONGITUDE,LONGTITUDE,POSTAL,ROAD_NAME,SEARCHVAL,X,Y
1 KEMPAS ROAD KEMPAS RESIDENCES SINGAPORE 330001,1,KEMPAS RESIDENCES,1.31601875088283,103.859209335509,103.859209335509,330001,KEMPAS ROAD,KEMPAS RESIDENCES,30881.3907707343,33144.1995056532
2 KEMPAS ROAD KEMPAS RESIDENCES SINGAPORE 330002,2,KEMPAS RESIDENCES,1.31687158155777,103.859945606885,103.859945606885,330002,KEMPAS ROAD,KEMPAS RESIDENCES,30963.3296532072,33238.5020119697
3 KEMPAS ROAD SINGAPORE 330003,3,NIL,1.31769627138792,103.860858765288,103.860858765288,330003,KEMPAS ROAD,3 KEMPAS ROAD SINGAPORE 330003,31064.9543177336,33329.6930906344
4 BOON KENG ROAD SINGAPORE 330004,4,NIL,1.31569896370315,103.859785170022,103.859785170022,330004,BOON KENG ROAD,4 BOON KENG ROAD SINGAPORE 330004,30945.4759619394,33108.8397509102
5 BOON KENG ROAD SINGAPORE 330005,5,NIL,1.31629995826281,103.860397463054,103.860397463054,330005,BOON KENG ROAD,5 BOON KENG ROAD SINGAPORE 330005,31013.6175472504,33175.2953792606
6 BOON KENG ROAD SINGAPORE 330006,6,NIL,1.31708803504618,103.860896688005,103.860896688005,330006,BOON KENG ROAD,6 BOON KENG ROAD SINGAPORE 330006,31069.1754907435,33262.4374794737
7 BOON KENG ROAD CITY VIEW @ BOON KENG SINGAPORE 330007,7,CITY VIEW @ BOON KENG,1.31678922529744,103.861781918434,103.861781918434,330007,BOON KENG ROAD,CITY VIEW @ BOON KENG,31167.6934191529,33229.3977354169
8 BOON KENG ROAD CITY VIEW @ BOON KENG SINGAPORE 330008,8,CITY VIEW @ BOON KENG,1.31642489627751,103.861501638313,103.861501638313,330008,BOON KENG ROAD,CITY VIEW @ BOON KENG,31136.5014144294,33189.1117452513
9 BOON KENG ROAD CITY VIEW @ BOON KENG SINGAPORE 330009,9,CITY VIEW @ BOON KENG,1.31605118149851,103.861218698544,103.861218698544,330009,BOON KENG ROAD,CITY VIEW @ BOON KENG,31105.0134190917,33147.7879264615
10 BENDEMEER ROAD BENDEMEER LIGHT SINGAPORE 330010,10,BENDEMEER LIGHT,1.31550993783628,103.860952982979,103.860952982979,330010,BENDEMEER ROAD,BENDEMEER LIGHT,31075.4425070398,33087.9396476168
11 BENDEMEER ROAD BENDEMEER LIGHT SINGAPORE 330011,11,BENDEMEER LIGHT,1.31532027092245,103.860265846084,103.860265846084,330011,BENDEMEER ROAD,BENDEMEER LIGHT,30998.9710212694,33066.9664168768
22 BOON KENG ROAD BENDEMEER VILLE SINGAPORE 330022,22,BENDEMEER VILLE,1.31817642675037,103.861403795159,103.861403795159,330022,BOON KENG ROAD,BENDEMEER VILLE,31125.6102371877,33382.7868873049
23 BENDEMEER ROAD BENDEMEER VILLE SINGAPORE 330023,23,BENDEMEER VILLE,1.31771041461305,103.862786032663,103.862786032663,330023,BENDEMEER ROAD,BENDEMEER VILLE,31279.4403935988,33331.2594285235
24 BENDEMEER ROAD BENDEMEER VILLE SINGAPORE 330024,24,BENDEMEER VILLE,1.31862347782977,103.862324355167,103.862324355167,330024,BENDEMEER ROAD,BENDEMEER VILLE,31228.0590081075,33432.2206793837
25 BENDEMEER ROAD BENDEMEER SHOPPING MALL SINGAPORE 330025,25,BENDEMEER SHOPPING MALL,1.31868262266763,103.862702893919,103.862702893919,330025,BENDEMEER ROAD,BENDEMEER SHOPPING MALL,31270.1865932047,33438.7611063775
26 BENDEMEER ROAD BENDEMEER VILLE SINGAPORE 330026,26,BENDEMEER VILLE,1.3183075369852,103.86292186863,103.86292186863,330026,BENDEMEER ROAD,BENDEMEER VILLE,31294.5568300271,33397.2863411512
27 BENDEMEER ROAD BENDEMEER SHOPPING MALL SINGAPORE 330027,27,BENDEMEER SHOPPING MALL,1.31883815362848,103.862815823199,103.862815823199,330027,BENDEMEER ROAD,BENDEMEER SHOPPING MALL,31282.754314064,33455.9590720441
28 BENDEMEER ROAD BENDEMEER VILLE SINGAPORE 330028,28,BENDEMEER VILLE,1.31869832503738,103.863232193576,103.863232193576,330028,BENDEMEER ROAD,BENDEMEER VILLE,31329.0924481088,33440.4980951585
29 BENDEMEER ROAD BENDEMEER MARKET AND FOOD CENTRE SINGAPORE 330029,29,BENDEMEER MARKET AND FOOD CENTRE,1.31921708867291,103.863021454035,103.863021454035,330029,BENDEMEER ROAD,BENDEMEER MARKET AND FOOD CENTRE,31305.6385139572,33497.8600407485
30 BENDEMEER ROAD BENDEMEER VILLE SINGAPORE 330030,30,BENDEMEER VILLE,1.319303367127,103.86404981515,103.86404981515,330030,BENDEMEER ROAD,BENDEMEER VILLE,31420.0849082628,33507.4016593993
31 BENDEMEER ROAD BENDEMEER VILLE SINGAPORE 330031,31,BENDEMEER VILLE,1.31957139918068,103.863680644289,103.863680644289,330031,BENDEMEER ROAD,BENDEMEER VILLE,31378.9994498445,33537.0387675315
32 BENDEMEER ROAD BENDEMEER VILLE SINGAPORE 330032,32,BENDEMEER VILLE,1.31981683292999,103.863375513331,103.863375513331,330032,BENDEMEER ROAD,BENDEMEER VILLE,31345.0410422124,33564.1771628056
33 BENDEMEER ROAD BENDEMEER VILLE SINGAPORE 330033,33,BENDEMEER VILLE,1.31966574874929,103.862764341278,103.862764341278,330033,BENDEMEER ROAD,BENDEMEER VILLE,31277.0237977784,33547.4702346362
34 WHAMPOA WEST BENDEMEER VILLE SINGAPORE 330034,34,BENDEMEER VILLE,1.32050169556608,103.863341271367,103.863341271367,330034,WHAMPOA WEST,BENDEMEER VILLE,31341.2293344876,33639.9057209138
39 BENDEMEER ROAD PCF SPARKLETOTS PRESCHOOL @ KOLAM AYER 39 (CC) SINGAPORE 330039,39,PCF SPARKLETOTS PRESCHOOL @ KOLAM AYER 39 (CC),1.32075606190463,103.866219436718,103.866219436718,330039,BENDEMEER ROAD,PCF SPARKLETOTS PRESCHOOL @ KOLAM AYER 39 (CC),31661.5403932473,33668.0363006946
43 BENDEMEER ROAD SINGAPORE 330043,43,NIL,1.32112499272338,103.865833285976,103.865833285976,330043,BENDEMEER ROAD,43 BENDEMEER ROAD SINGAPORE 330043,31618.5650927303,33708.8302178923
44 BENDEMEER ROAD SINGAPORE 330044,44,NIL,1.32226013692281,103.86662310263,103.86662310263,330044,BENDEMEER ROAD,44 BENDEMEER ROAD SINGAPORE 330044,31706.4621975301,33834.3498210926
45 BENDEMEER ROAD SINGAPORE 330045,45,NIL,1.3223875270991,103.866126107239,103.866126107239,330045,BENDEMEER ROAD,45 BENDEMEER ROAD SINGAPORE 330045,31651.1513618566,33848.4352391921
46 BENDEMEER ROAD SINGAPORE 330046,46,NIL,1.32290623334055,103.866028945394,103.866028945394,330046,BENDEMEER ROAD,46 BENDEMEER ROAD SINGAPORE 330046,31640.3374587772,33905.7909798454
47 BENDEMEER ROAD SINGAPORE 330047,47,NIL,1.3233974126952,103.866812029524,103.866812029524,330047,BENDEMEER ROAD,47 BENDEMEER ROAD SINGAPORE 330047,31727.4861876797,33960.104243312
48 BENDEMEER ROAD SINGAPORE 330048,48,NIL,1.32332270615854,103.866399245801,103.866399245801,330048,BENDEMEER ROAD,48 BENDEMEER ROAD SINGAPORE 330048,31681.5475910204,33951.8429603707
49 WHAMPOA SOUTH SINGAPORE 330049,49,NIL,1.32448737406528,103.866368168069,103.866368168069,330049,WHAMPOA SOUTH,49 WHAMPOA SOUTH SINGAPORE 330049,31678.08723405,34080.6259365045
53 GEYLANG BAHRU GEYLANG BAHRU RIVERPOINT SINGAPORE 330053,53,GEYLANG BAHRU RIVERPOINT,1.32432231336421,103.868159565036,103.868159565036,330053,GEYLANG BAHRU,GEYLANG BAHRU RIVERPOINT,31877.4520003414,34062.3770967089
54 GEYLANG BAHRU GEYLANG BAHRU RIVERPOINT SINGAPORE 330054,54,GEYLANG BAHRU RIVERPOINT,1.32388371941336,103.867864793507,103.867864793507,330054,GEYLANG BAHRU,GEYLANG BAHRU RIVERPOINT,31844.6475595888,34013.8791604191
55 GEYLANG BAHRU GEYLANG BAHRU RIVERPOINT SINGAPORE 330055,55,GEYLANG BAHRU RIVERPOINT,1.32408464111823,103.86859054805,103.86859054805,330055,GEYLANG BAHRU,GEYLANG BAHRU RIVERPOINT,31925.4164634189,34036.0971922595
56 GEYLANG BAHRU GEYLANG BAHRU RIVERPOINT SINGAPORE 330056,56,GEYLANG BAHRU RIVERPOINT,1.32364514773996,103.868295292623,103.868295292623,330056,GEYLANG BAHRU,GEYLANG BAHRU RIVERPOINT,31892.5581759233,33987.4997953735
57 GEYLANG BAHRU GEYLANG BAHRU VILLE SINGAPORE 330057,57,GEYLANG BAHRU VILLE,1.32353780675049,103.86914775647,103.86914775647,330057,GEYLANG BAHRU,GEYLANG BAHRU VILLE,31987.4290544391,33975.6319308337
58 GEYLANG BAHRU SINGAPORE 330058,58,NIL,1.32319537324232,103.86795724315,103.86795724315,330058,GEYLANG BAHRU,58 GEYLANG BAHRU SINGAPORE 330058,31854.937342261,33937.7655027527
59A GEYLANG BAHRU SINGAPORE 330059,59A,NIL,1.32265385433949,103.868226925188,103.868226925188,330059,GEYLANG BAHRU,59A GEYLANG BAHRU SINGAPORE 330059,31884.951105183,33877.887531016
60 GEYLANG BAHRU SINGAPORE 330060,60,NIL,1.32282118210161,103.869177870562,103.869177870562,330060,GEYLANG BAHRU,60 GEYLANG BAHRU SINGAPORE 330060,31990.7815968515,33896.3912877701
61 GEYLANG BAHRU GEYLANG BAHRU VILLE SINGAPORE 330061,61,GEYLANG BAHRU VILLE,1.32231126658548,103.869263053603,103.869263053603,330061,GEYLANG BAHRU,GEYLANG BAHRU VILLE,32000.2624373911,33840.0075731464
62 GEYLANG BAHRU GEYLANG BAHRU VILLE SINGAPORE 330062,62,GEYLANG BAHRU VILLE,1.32181258135723,103.868465951996,103.868465951996,330062,GEYLANG BAHRU,GEYLANG BAHRU VILLE,31911.5537268762,33784.8642404936
63 KALLANG BAHRU SINGAPORE 330063,63,NIL,1.32100020851204,103.868321383856,103.868321383856,330063,KALLANG BAHRU,63 KALLANG BAHRU SINGAPORE 330063,31895.4659908507,33695.0359777976
64 KALLANG BAHRU SINGAPORE 330064,64,NIL,1.32034663718702,103.86834750594,103.86834750594,330064,KALLANG BAHRU,64 KALLANG BAHRU SINGAPORE 330064,31898.3741387259,33622.7674437109
65 KALLANG BAHRU SINGAPORE 330065,65,NIL,1.31969547154613,103.868364964604,103.868364964604,330065,KALLANG BAHRU,65 KALLANG BAHRU SINGAPORE 330065,31900.3181302482,33550.7649046648
66 KALLANG BAHRU GEYLANG BAHRU VILLE SINGAPORE 330066,66,GEYLANG BAHRU VILLE,1.32066445696203,103.869914604242,103.869914604242,330066,KALLANG BAHRU,GEYLANG BAHRU VILLE,32072.7762329504,33657.9128405917
67 KALLANG BAHRU GEYLANG BAHRU VILLE SINGAPORE 330067,67,GEYLANG BAHRU VILLE,1.32139446427243,103.869336174701,103.869336174701,330067,KALLANG BAHRU,GEYLANG BAHRU VILLE,32008.4015587494,33738.6323773395
