ADDRESS,BLK_NO,BUILDING,LATITUDE,LONGITUDE,LONGTITUDE,POSTAL,ROAD_NAME,SEARCHVAL,X,Y
20 TEBAN GARDENS ROAD TEBAN VISTA SINGAPORE 600020,20,TEBAN VISTA,1.32378355041705,103.7385183842,103.7385183842,600020,TEBAN GARDENS ROAD,TEBAN VISTA,17449.6834526556,34002.9779342078
21 TEBAN GARDENS ROAD TEBAN VISTA SINGAPORE 600021,21,TEBAN VISTA,1.32368064923943,103.739156156511,103.739156156511,600021,TEBAN GARDENS ROAD,TEBAN VISTA,17520.6607848257,33991.5969301853
22 TEBAN GARDENS ROAD TEBAN VISTA SINGAPORE 600022,22,TEBAN VISTA,1.32277239024452,103.739714299254,103.739714299254,600022,TEBAN GARDENS ROAD,TEBAN VISTA,17582.7727759043,33891.1638253741
23 TEBAN GARDENS ROAD TEBAN VISTA SINGAPORE 600023,23,TEBAN VISTA,1.32285773181424,103.73923873397,103.73923873397,600023,TEBAN GARDENS ROAD,TEBAN VISTA,17529.8473902959,33900.6024723444
24 TEBAN GARDENS ROAD SINGAPORE 600024,24,NIL,1.32349635256112,103.737884227151,103.737884227151,600024,TEBAN GARDENS ROAD,24 TEBAN GARDENS ROAD SINGAPORE 600024,17379.1068080552,33971.2237319537
25 TEBAN GARDENS ROAD SINGAPORE 600025,25,NIL,1.32307929386097,103.737791107104,103.737791107104,600025,TEBAN GARDENS ROAD,25 TEBAN GARDENS ROAD SINGAPORE 600025,17368.7416883707,33925.107855713
30 TEBAN GARDENS ROAD SINGAPORE 600030,30,NIL,1.3208228255704,103.73907552675,103.73907552675,600030,TEBAN GARDENS ROAD,30 TEBAN GARDENS ROAD SINGAPORE 600030,17511.6754917149,33675.593368724
31 TEBAN GARDENS ROAD SINGAPORE 600031,31,NIL,1.32030814426975,103.738967733755,103.738967733755,600031,TEBAN GARDENS ROAD,31 TEBAN GARDENS ROAD SINGAPORE 600031,17499.6770208254,33618.6829306483
32 TEBAN GARDENS ROAD SINGAPORE 600032,32,NIL,1.32184396296011,103.739872521955,103.739872521955,600032,TEBAN GARDENS ROAD,32 TEBAN GARDENS ROAD SINGAPORE 600032,17600.3775432734,33788.502300797
33 TEBAN GARDENS ROAD SINGAPORE 600033,33,NIL,1.32030252805209,103.74184852426,103.74184852426,600033,TEBAN GARDENS ROAD,33 TEBAN GARDENS ROAD SINGAPORE 600033,17820.2809828641,33618.0499363039
34 TEBAN GARDENS ROAD SINGAPORE 600034,34,NIL,1.31987963533782,103.741754021124,103.741754021124,600034,TEBAN GARDENS ROAD,34 TEBAN GARDENS ROAD SINGAPORE 600034,17809.7619807515,33571.2889585271
35 TEBAN GARDENS ROAD SINGAPORE 600035,35,NIL,1.31955255991308,103.742644766325,103.742644766325,600035,TEBAN GARDENS ROAD,35 TEBAN GARDENS ROAD SINGAPORE 600035,17908.8919580597,33535.1189601291
36 TEBAN GARDENS ROAD SINGAPORE 600036,36,NIL,1.31997450302269,103.742739188864,103.742739188864,600036,TEBAN GARDENS ROAD,36 TEBAN GARDENS ROAD SINGAPORE 600036,17919.4019705821,33581.7749382705
37 TEBAN GARDENS ROAD SINGAPORE 600037,37,NIL,1.32053143645806,103.742652199249,103.742652199249,600037,TEBAN GARDENS ROAD,37 TEBAN GARDENS ROAD SINGAPORE 600037,17909.7231168924,33643.3582082093
38 TEBAN GARDENS ROAD SINGAPORE 600038,38,NIL,1.32113896630024,103.742787643913,103.742787643913,600038,TEBAN GARDENS ROAD,38 TEBAN GARDENS ROAD SINGAPORE 600038,17924.7992363665,33710.5352739505
39 TEBAN GARDENS ROAD SINGAPORE 600039,39,NIL,1.32136881127061,103.742845114726,103.742845114726,600039,TEBAN GARDENS ROAD,39 TEBAN GARDENS ROAD SINGAPORE 600039,17931.1961023137,33735.9501496945
