ADDRESS,BLK_NO,BUILDING,LATITUDE,LONGITUDE,LONGTITUDE,POSTAL,ROAD_NAME,SEARCHVAL,X,Y
688E WOODLANDS DRIVE 75 SINGAPORE 735688,688E,NIL,1.44381513960749,103.807945069315,103.807945069315,735688,WOODLANDS DRIVE 75,688E WOODLANDS DRIVE 75 SINGAPORE 735688,25176.3245628839,47275.2758287042
689E WOODLANDS DRIVE 75 SINGAPORE 735689,689E,NIL,1.44392045317552,103.808674247275,103.808674247275,735689,WOODLANDS DRIVE 75,689E WOODLANDS DRIVE 75 SINGAPORE 735689,25257.4708176674,47286.9199825767
690E WOODLANDS DRIVE 75 SINGAPORE 735690,690E,NIL,1.44216549395902,103.808040672708,103.808040672708,735690,WOODLANDS DRIVE 75,690E WOODLANDS DRIVE 75 SINGAPORE 735690,25186.9617009377,47092.8661577795
693E WOODLANDS AVENUE 6 ADMIRALTY GROVE SINGAPORE 735693,693E,ADMIRALTY GROVE,1.43793037367291,103.804571100201,103.804571100201,735693,WOODLANDS AVENUE 6,ADMIRALTY GROVE,24800.8462294973,46624.5723538473
694E WOODLANDS DRIVE 62 ADMIRALTY GROVE SINGAPORE 735694,694E,ADMIRALTY GROVE,1.43847936745419,103.804916817404,103.804916817404,735694,WOODLANDS DRIVE 62,ADMIRALTY GROVE,24839.3200149406,46685.2768534143
780E WOODLANDS CRESCENT WOODLANDS DEW SINGAPORE 735780,780E,WOODLANDS DEW,1.44800009031143,103.801700391926,103.801700391926,735780,WOODLANDS CRESCENT,WOODLANDS DEW,24481.3958408544,47738.0354647618
781E WOODLANDS AVENUE 9 WOODLANDS GLADE SINGAPORE 735781,781E,WOODLANDS GLADE,1.44857779468583,103.802784878487,103.802784878487,735781,WOODLANDS AVENUE 9,WOODLANDS GLADE,24602.0829183105,47801.9134716187
782E WOODLANDS CRESCENT WOODLANDS MEADOW SINGAPORE 735782,782E,WOODLANDS MEADOW,1.44805153860282,103.802708834923,103.802708834923,735782,WOODLANDS CRESCENT,WOODLANDS MEADOW,24593.6196873831,47743.7228189018
783E WOODLANDS RISE WOODLANDS PASTURE I SINGAPORE 735783,783E,WOODLANDS PASTURE I,1.44730896028557,103.803480831635,103.803480831635,735783,WOODLANDS RISE,WOODLANDS PASTURE I,24679.5296385158,47661.611075975
785E WOODLANDS RISE WOODLANDS PASTURE II SINGAPORE 735785,785E,WOODLANDS PASTURE II,1.44679259535344,103.80548353376,103.80548353376,735785,WOODLANDS RISE,WOODLANDS PASTURE II,24902.398099523,47604.5111905877
786E WOODLANDS DRIVE 60 SINGAPORE 735786,786E,NIL,1.44708104147411,103.800563797362,103.800563797362,735786,WOODLANDS DRIVE 60,786E WOODLANDS DRIVE 60 SINGAPORE 735786,24354.9093571818,47636.4134335499
787E WOODLANDS CRESCENT SINGAPORE 735787,787E,NIL,1.44492134030396,103.80229706643,103.80229706643,735787,WOODLANDS CRESCENT,787E WOODLANDS CRESCENT SINGAPORE 735787,24547.791629401,47397.6017661393
788E WOODLANDS CRESCENT SINGAPORE 735788,788E,NIL,1.44441749764901,103.802337261902,103.802337261902,735788,WOODLANDS CRESCENT,788E WOODLANDS CRESCENT SINGAPORE 735788,24552.2639964065,47341.8893045895
688F WOODLANDS DRIVE 75 SINGAPORE 736688,688F,NIL,1.44416134930045,103.807998180594,103.807998180594,736688,WOODLANDS DRIVE 75,688F WOODLANDS DRIVE 75 SINGAPORE 736688,25182.2354460843,47313.5578967389
689F WOODLANDS DRIVE 75 SINGAPORE 736689,689F,NIL,1.44357856654871,103.808771154988,103.808771154988,736689,WOODLANDS DRIVE 75,689F WOODLANDS DRIVE 75 SINGAPORE 736689,25268.254725174,47249.1157552004
690F WOODLANDS DRIVE 75 SINGAPORE 736690,690F,NIL,1.44268598668095,103.807433131663,103.807433131663,736690,WOODLANDS DRIVE 75,690F WOODLANDS DRIVE 75 SINGAPORE 736690,25119.3524689246,47150.4203958698
