ADDRESS,BLK_NO,BUILDING,LATITUDE,LONGITUDE,LONGTITUDE,POSTAL,ROAD_NAME,SEARCHVAL,X,Y
1 CASSIA LINK GEYLANG NEIGHBOURHOOD POLICE CENTRE SINGAPORE 397618,1,GEYLANG NEIGHBOURHOOD POLICE CENTRE,1.31096539761541,103.886144303455,103.886144303455,397618,CASSIA LINK,GEYLANG NEIGHBOURHOOD POLICE CENTRE,33879.0046314904,32585.4727149773
2 GUILLEMARD CLOSE KALLANG FIRE STATION SINGAPORE 397623,2,KALLANG FIRE STATION,1.30943995039478,103.879221916238,103.879221916238,397623,GUILLEMARD CLOSE,KALLANG FIRE STATION,33108.6111670975,32416.7813720442
1 STADIUM PLACE KALLANG WAVE MALL SINGAPORE 397628,1,KALLANG WAVE MALL,1.30384327182319,103.872750701661,103.872750701661,397628,STADIUM PLACE,KALLANG WAVE MALL,32388.4352236856,31797.9170616716
1 STADIUM DRIVE ENERGY CENTRE SINGAPORE 397629,1,ENERGY CENTRE,1.30621357376497,103.876180037186,103.876180037186,397629,STADIUM DRIVE,ENERGY CENTRE,32770.0845633242,32060.0191555861
3 STADIUM DRIVE SINGAPORE SPORTS HUB SINGAPORE 397630,3,SINGAPORE SPORTS HUB,1.30309320792601,103.87508768942,103.87508768942,397630,STADIUM DRIVE,SINGAPORE SPORTS HUB,32648.5220449753,31714.9830284305
5 STADIUM DRIVE OCBC ARENA SINGAPORE 397631,5,OCBC ARENA,1.30514729339656,103.876138530086,103.876138530086,397631,STADIUM DRIVE,OCBC ARENA,32765.4672126761,31942.1152494997
7 STADIUM DRIVE OCBC AQUATIC CENTRE SINGAPORE 397632,7,OCBC AQUATIC CENTRE,1.30537466617034,103.872703177178,103.872703177178,397632,STADIUM DRIVE,OCBC AQUATIC CENTRE,32383.1435326282,31967.2507214863
2 SIMS WAY FORTE SINGAPORE 397635,2,FORTE,1.30886501637178,103.876667203082,103.876667203082,397635,SIMS WAY,FORTE,32824.2965803845,32353.2030484937
31 STADIUM CRESCENT SINGAPORE CRICKET ASSOCIATION SINGAPORE 397639,31,SINGAPORE CRICKET ASSOCIATION,1.3045613952279,103.880735861834,103.880735861834,397639,STADIUM CRESCENT,SINGAPORE CRICKET ASSOCIATION,33277.1093397578,31877.3387980834
2 WESTERHOUT ROAD SINGAPORE 397643,2,NIL,1.31073928328467,103.880128121046,103.880128121046,397643,WESTERHOUT ROAD,2 WESTERHOUT ROAD SINGAPORE 397643,33209.4606080251,32560.4568317942
4 WESTERHOUT ROAD SINGAPORE 397644,4,NIL,1.31075193775339,103.880182511978,103.880182511978,397644,WESTERHOUT ROAD,4 WESTERHOUT ROAD SINGAPORE 397644,33215.5137810167,32561.8562114853
6 WESTERHOUT ROAD SINGAPORE 397645,6,NIL,1.31076644359708,103.880245018877,103.880245018877,397645,WESTERHOUT ROAD,6 WESTERHOUT ROAD SINGAPORE 397645,33222.470180911,32563.460323818
8 WESTERHOUT ROAD SINGAPORE 397646,8,NIL,1.31077600212252,103.880300568627,103.880300568627,397646,WESTERHOUT ROAD,8 WESTERHOUT ROAD SINGAPORE 397646,33228.6523257811,32564.5173726138
10 WESTERHOUT ROAD SINGAPORE 397647,10,NIL,1.31079012719854,103.880363194916,103.880363194916,397647,WESTERHOUT ROAD,10 WESTERHOUT ROAD SINGAPORE 397647,33235.6220133193,32566.0793821812
12 WESTERHOUT ROAD SINGAPORE 397648,12,NIL,1.31080415332763,103.880418105615,103.880418105615,397648,WESTERHOUT ROAD,12 WESTERHOUT ROAD SINGAPORE 397648,33241.7330284277,32567.6304347385
14 WESTERHOUT ROAD SINGAPORE 397649,14,NIL,1.31081713853389,103.880483004214,103.880483004214,397649,WESTERHOUT ROAD,14 WESTERHOUT ROAD SINGAPORE 397649,33248.9556049705,32569.0664084218
15 WESTERHOUT ROAD SINGAPORE 397650,15,NIL,1.31110544141856,103.880089741093,103.880089741093,397650,WESTERHOUT ROAD,15 WESTERHOUT ROAD SINGAPORE 397650,33205.1885242676,32600.9446488731
17 WESTERHOUT ROAD SINGAPORE 397651,17,NIL,1.31111407557405,103.880144080555,103.880144080555,397651,WESTERHOUT ROAD,17 WESTERHOUT ROAD SINGAPORE 397651,33211.2359766103,32601.8994826879
19 WESTERHOUT ROAD SINGAPORE 397652,19,NIL,1.3111239849426,103.880204110251,103.880204110251,397652,WESTERHOUT ROAD,19 WESTERHOUT ROAD SINGAPORE 397652,33217.9166957084,32602.9953350388
43 WESTERHOUT ROAD SINGAPORE 397653,43,NIL,1.31114565090931,103.880290695296,103.880290695296,397653,WESTERHOUT ROAD,43 WESTERHOUT ROAD SINGAPORE 397653,33227.5527504683,32605.3912275583
45 WESTERHOUT ROAD SINGAPORE 397655,45,NIL,1.31114818869457,103.880319280475,103.880319280475,397655,WESTERHOUT ROAD,45 WESTERHOUT ROAD SINGAPORE 397655,33230.7340063611,32605.6719025709
54 WESTERHOUT ROAD SINGAPORE 397656,54,NIL,1.31091225024074,103.880846198392,103.880846198392,397656,WESTERHOUT ROAD,54 WESTERHOUT ROAD SINGAPORE 397656,33289.3755006948,32579.58413928
55 WESTERHOUT ROAD SINGAPORE 397657,55,NIL,1.31119152041268,103.880848437367,103.880848437367,397657,WESTERHOUT ROAD,55 WESTERHOUT ROAD SINGAPORE 397657,33289.6240916448,32610.4644140396
55A WESTERHOUT ROAD SINGAPORE 397658,55A,NIL,1.31119152041268,103.880848437367,103.880848437367,397658,WESTERHOUT ROAD,55A WESTERHOUT ROAD SINGAPORE 397658,33289.6240916448,32610.4644140396
56 WESTERHOUT ROAD SINGAPORE 397659,56,NIL,1.31092793305694,103.880954871026,103.880954871026,397659,WESTERHOUT ROAD,56 WESTERHOUT ROAD SINGAPORE 397659,33301.4697092166,32581.3184947483
57 WESTERHOUT ROAD SINGAPORE 397660,57,NIL,1.31119152041268,103.880848437367,103.880848437367,397660,WESTERHOUT ROAD,57 WESTERHOUT ROAD SINGAPORE 397660,33289.6240916448,32610.4644140396
61 WESTERHOUT ROAD REDDOORZ @ GEYLANG SINGAPORE 397662,61,REDDOORZ @ GEYLANG,1.31123154365597,103.881080380138,103.881080380138,397662,WESTERHOUT ROAD,REDDOORZ @ GEYLANG,33315.4370519109,32614.8904710319
69 WESTERHOUT ROAD SINGAPORE 397664,69,NIL,1.31125326487661,103.881181675646,103.881181675646,397664,WESTERHOUT ROAD,69 WESTERHOUT ROAD SINGAPORE 397664,33326.7102413746,32617.2925079502
71 WESTERHOUT ROAD SINGAPORE 397665,71,NIL,1.31125846240444,103.881244379837,103.881244379837,397665,WESTERHOUT ROAD,71 WESTERHOUT ROAD SINGAPORE 397665,33333.6886158241,32617.867357498
1 STADIUM WALK KALLANG THEATRE SINGAPORE 397688,1,KALLANG THEATRE,1.30188697865454,103.875642967826,103.875642967826,397688,STADIUM WALK,KALLANG THEATRE,32710.3217309974,31581.6054026373
2 STADIUM WALK SINGAPORE INDOOR STADIUM SINGAPORE 397691,2,SINGAPORE INDOOR STADIUM,1.30058775534295,103.874332293737,103.874332293737,397691,STADIUM WALK,SINGAPORE INDOOR STADIUM,32564.4578657579,31437.941535525
3 STADIUM WALK STADIUM MRT STATION (CC6) SINGAPORE 397692,3,STADIUM MRT STATION (CC6),1.3028124684707,103.875337711089,103.875337711089,397692,STADIUM WALK,STADIUM MRT STATION (CC6),32676.3477050858,31683.9407594204
5 STADIUM WALK DBS KALLANG LEISURE PARK SINGAPORE 397693,5,DBS KALLANG LEISURE PARK,1.30222177381282,103.876152665088,103.876152665088,397693,STADIUM WALK,DBS KALLANG LEISURE PARK,32767.0458090985,31618.6262945924
4 STADIUM WALK SPORTS HUB LIBRARY SINGAPORE 397697,4,SPORTS HUB LIBRARY,1.30185690007234,103.874174035739,103.874174035739,397697,STADIUM WALK,SPORTS HUB LIBRARY,32546.8428980773,31578.276771931
6 STADIUM WALK SINGAPORE SPORTS MUSEUM SINGAPORE 397698,6,SINGAPORE SPORTS MUSEUM,1.3015901507739,103.873589856662,103.873589856662,397698,STADIUM WALK,SINGAPORE SPORTS MUSEUM,32481.8295088839,31548.7799559031
8 STADIUM WALK WATER SPORTS CENTRE SINGAPORE 397699,8,WATER SPORTS CENTRE,1.30121118638528,103.872905191992,103.872905191992,397699,STADIUM WALK,WATER SPORTS CENTRE,32405.6331590852,31506.8748102188
5 STADIUM ROAD NATIONAL CADET CORPS KALLANG SINGAPORE 397732,5,NATIONAL CADET CORPS KALLANG,1.30589094821969,103.869920837638,103.869920837638,397732,STADIUM ROAD,NATIONAL CADET CORPS KALLANG,32073.4938565763,32024.3338686787
9 STADIUM LINK SINGAPORE 397750,9,NIL,1.30740365622522,103.873603649108,103.873603649108,397750,STADIUM LINK,9 STADIUM LINK SINGAPORE 397750,32483.3541980274,32191.6076408606
3 STADIUM LINK SINGAPORE 397752,3,NIL,1.30847357727924,103.874150951941,103.874150951941,397752,STADIUM LINK,3 STADIUM LINK SINGAPORE 397752,32544.2620076416,32309.9150191695
7 STADIUM LINK SINGAPORE 397753,7,NIL,1.30883968572,103.875158625429,103.875158625429,397753,STADIUM LINK,7 STADIUM LINK SINGAPORE 397753,32656.4060072303,32350.3992646262
1 STADIUM LINK SINGAPORE 397754,1,NIL,1.3083442902394,103.87345824759,103.87345824759,397754,STADIUM LINK,1 STADIUM LINK SINGAPORE 397754,32467.1706941016,32295.6178765241
5 STADIUM LINK SINGAPORE 397755,5,NIL,1.30865674214606,103.874464088054,103.874464088054,397755,STADIUM LINK,5 STADIUM LINK SINGAPORE 397755,32579.1108085513,32330.1690220814
11 STADIUM LINK SINGAPORE 397756,11,NIL,1.30790365003248,103.872495770265,103.872495770265,397756,STADIUM LINK,11 STADIUM LINK SINGAPORE 397756,32360.0566885835,32246.892446069
13 STADIUM LINK SINGAPORE 397757,13,NIL,1.30796129454589,103.872813275369,103.872813275369,397757,STADIUM LINK,13 STADIUM LINK SINGAPORE 397757,32395.3919565268,32253.2670347784
5 STADIUM LANE SINGAPORE 397773,5,NIL,1.30502969964897,103.871257267559,103.871257267559,397773,STADIUM LANE,5 STADIUM LANE SINGAPORE 397773,32222.2276412286,31929.1036183909
10 STADIUM LANE KALLANG WATER SPORT CENTRE SINGAPORE 397774,10,KALLANG WATER SPORT CENTRE,1.30435821251939,103.869935831599,103.869935831599,397774,STADIUM LANE,KALLANG WATER SPORT CENTRE,32075.1650124937,31854.851835208
5A STADIUM LANE SINGAPORE 397775,5A,NIL,1.30495892511981,103.87104421212,103.87104421212,397775,STADIUM LANE,5A STADIUM LANE SINGAPORE 397775,32198.5166410925,31921.2773771808
5B STADIUM LANE SINGAPORE 397776,5B,NIL,1.3050478128507,103.870729030329,103.870729030329,397776,STADIUM LANE,5B STADIUM LANE SINGAPORE 397776,32163.4396498539,31931.1056033708
5C STADIUM LANE SINGAPORE 397777,5C,NIL,1.3047661698451,103.870657327303,103.870657327303,397777,STADIUM LANE,5C STADIUM LANE SINGAPORE 397777,32155.4602223784,31899.9628446549
5D STADIUM LANE SINGAPORE 397778,5D,NIL,1.30455873284089,103.870877108809,103.870877108809,397778,STADIUM LANE,5D STADIUM LANE SINGAPORE 397778,32179.9202340404,31877.0258876663
6 STADIUM BOULEVARD KALLANG NETBALL CENTRE SINGAPORE 397797,6,KALLANG NETBALL CENTRE,1.30596812520617,103.879716209095,103.879716209095,397797,STADIUM BOULEVARD,KALLANG NETBALL CENTRE,33163.6284335963,32032.8856939934
230 STADIUM BOULEVARD SINGAPORE 397799,230,NIL,1.30426016123523,103.882367769241,103.882367769241,397799,STADIUM BOULEVARD,230 STADIUM BOULEVARD SINGAPORE 397799,33458.7263829922,31844.033361664
190 STADIUM BOULEVARD SINGAPORE 397800,190,NIL,1.30505117555894,103.881356064311,103.881356064311,397800,STADIUM BOULEVARD,190 STADIUM BOULEVARD SINGAPORE 397800,33346.1311785709,31931.4975132234
