ADDRESS,BLK_NO,BUILDING,LATITUDE,LONGITUDE,LONGTITUDE,POSTAL,ROAD_NAME,SEARCHVAL,X,Y
2B BOON TIONG ROAD BOON TIONG ARCADIA SINGAPORE 165002,2B,BOON TIONG ARCADIA,1.28683011386416,103.833287124373,103.833287124373,165002,BOON TIONG ROAD,BOON TIONG ARCADIA,27996.4993307348,29916.6554514114
4B BOON TIONG ROAD BOON TIONG ARCADIA SINGAPORE 165004,4B,BOON TIONG ARCADIA,1.28658878251864,103.831950295943,103.831950295943,165004,BOON TIONG ROAD,BOON TIONG ARCADIA,27847.7215364333,29889.9703191947
6B BOON TIONG ROAD BOON TIONG ARCADIA SINGAPORE 165006,6B,BOON TIONG ARCADIA,1.28654599608856,103.83082447985,103.83082447985,165006,BOON TIONG ROAD,BOON TIONG ARCADIA,27722.4276415883,29885.2393122669
8B BOON TIONG ROAD BOON TIONG ARCADIA SINGAPORE 165008,8B,BOON TIONG ARCADIA,1.2870169493471,103.830303346649,103.830303346649,165008,BOON TIONG ROAD,BOON TIONG ARCADIA,27664.4299472682,29937.3149545025
18A JALAN MEMBINA MULTI STOREY CAR PARK SINGAPORE 165018,18A,MULTI STOREY CAR PARK,1.28525463304241,103.826764422959,103.826764422959,165018,JALAN MEMBINA,MULTI STOREY CAR PARK,27270.5769803459,29742.44785925
20A JALAN MEMBINA SINGAPORE 165020,20A,NIL,1.28538060734624,103.825748372188,103.825748372188,165020,JALAN MEMBINA,20A JALAN MEMBINA SINGAPORE 165020,27157.499031852,29756.3777604494
22 TIONG BAHRU ROAD SINGAPORE 165022,22,NIL,1.28569948373915,103.83171175159,103.83171175159,165022,TIONG BAHRU ROAD,22 TIONG BAHRU ROAD SINGAPORE 165022,27821.1734879157,29791.6362687852
26B JALAN MEMBINA MEMBINA COURT SINGAPORE 165026,26B,MEMBINA COURT,1.28309207069724,103.825592376594,103.825592376594,165026,JALAN MEMBINA,MEMBINA COURT,27140.1372558558,29503.3232511561
2C BOON TIONG ROAD BOON TIONG ARCADIA SINGAPORE 166002,2C,BOON TIONG ARCADIA,1.2868576787328,103.832845909249,103.832845909249,166002,BOON TIONG ROAD,BOON TIONG ARCADIA,27947.3957926258,29919.7034373712
6C BOON TIONG ROAD BOON TIONG ARCADIA SINGAPORE 166006,6C,BOON TIONG ARCADIA,1.28696754183017,103.830727744036,103.830727744036,166006,BOON TIONG ROAD,BOON TIONG ARCADIA,27711.661804067,29931.8516742438
8C BOON TIONG ROAD BOON TIONG ARCADIA SINGAPORE 166008,8C,BOON TIONG ARCADIA,1.2869868682052,103.829630154394,103.829630154394,166008,BOON TIONG ROAD,BOON TIONG ARCADIA,27589.5093021793,29933.9888360389
22 JALAN MEMBINA SINGAPORE 166022,22,NIL,1.2848879468295,103.826444566955,103.826444566955,166022,JALAN MEMBINA,22 JALAN MEMBINA SINGAPORE 166022,27234.979561395,29701.9016854987
26C JALAN MEMBINA MEMBINA COURT SINGAPORE 166026,26C,MEMBINA COURT,1.28275797395281,103.825205576961,103.825205576961,166026,JALAN MEMBINA,MEMBINA COURT,27097.089524054,29466.3806927409
2D BOON TIONG ROAD BOON TIONG ARCADIA SINGAPORE 167002,2D,BOON TIONG ARCADIA,1.28661252726688,103.832818041614,103.832818041614,167002,BOON TIONG ROAD,BOON TIONG ARCADIA,27944.2943534059,29892.5958549064
8A JALAN KUKOH MULTI STOREY CAR PARK SINGAPORE 167008,8A,MULTI STOREY CAR PARK,1.28731262587884,103.83894413686,103.83894413686,167008,JALAN KUKOH,MULTI STOREY CAR PARK,28626.07720582,29970.0098251533
26D JALAN MEMBINA MEMBINA COURT SINGAPORE 167026,26D,MEMBINA COURT,1.28209883987158,103.825202810934,103.825202810934,167026,JALAN MEMBINA,MEMBINA COURT,27096.7814565152,29393.49705269
1 HOSPITAL BOULEVARD SINGAPORE 168581,1,NIL,1.27761679655854,103.833808547746,103.833808547746,168581,HOSPITAL BOULEVARD,1 HOSPITAL BOULEVARD SINGAPORE 168581,28054.5295631373,28897.8944447357
10 HOSPITAL BOULEVARD OUTRAM COMMUNITY HOSPITAL SINGAPORE 168582,10,OUTRAM COMMUNITY HOSPITAL,1.27764256606376,103.835431639678,103.835431639678,168582,HOSPITAL BOULEVARD,OUTRAM COMMUNITY HOSPITAL,28235.1667106673,28900.7439937945
30 HOSPITAL BOULEVARD SINGAPORE 168583,30,NIL,1.28112632880812,103.837831661153,103.837831661153,168583,HOSPITAL BOULEVARD,30 HOSPITAL BOULEVARD SINGAPORE 168583,28502.2692268305,29285.9608087987
