ADDRESS,BLK_NO,BUILDING,LATITUDE,LONGITUDE,LONGTITUDE,POSTAL,ROAD_NAME,SEARCHVAL,X,Y
5A KENG CHIN ROAD SINGAPORE 257460,5A,NIL,1.31781381772061,103.830652574544,103.830652574544,257460,KENG CHIN ROAD,5A KENG CHIN ROAD SINGAPORE 257460,27703.2996984739,33342.6739997398
5B KENG CHIN ROAD SINGAPORE 257461,5B,NIL,1.31770347209452,103.830615117402,103.830615117402,257461,KENG CHIN ROAD,5B KENG CHIN ROAD SINGAPORE 257461,27699.1310706846,33330.47255175
5C KENG CHIN ROAD SINGAPORE 257462,5C,NIL,1.31762539083561,103.83058862701,103.83058862701,257462,KENG CHIN ROAD,5C KENG CHIN ROAD SINGAPORE 257462,27696.1829388021,33321.8387304675
26A NASSIM ROAD SINGAPORE 257469,26A,NIL,1.31011644141753,103.8221832245,103.8221832245,257469,NASSIM ROAD,26A NASSIM ROAD SINGAPORE 257469,26760.7398542054,32491.5402952954
14B NASSIM ROAD LES MAISONS NASSIM SINGAPORE 257470,14B,LES MAISONS NASSIM,1.30873611910071,103.824195100133,103.824195100133,257470,NASSIM ROAD,LES MAISONS NASSIM,26984.6421181969,32338.9104460478
14C NASSIM ROAD LES MAISONS NASSIM SINGAPORE 257471,14C,LES MAISONS NASSIM,1.30890332357868,103.824392578967,103.824392578967,257471,NASSIM ROAD,LES MAISONS NASSIM,27006.6197314421,32357.3989780061
10A CLUNY ROAD SINGAPORE 257474,10A,NIL,1.31223529556585,103.8173338942,103.8173338942,257474,CLUNY ROAD,10A CLUNY ROAD SINGAPORE 257474,26221.0565287005,32725.8352228366
69 CLUNY PARK ROAD SINGAPORE 257484,69,NIL,1.3201467664493,103.813413294044,103.813413294044,257484,CLUNY PARK ROAD,69 CLUNY PARK ROAD SINGAPORE 257484,25784.7379741073,33600.6482065693
71 CLUNY PARK ROAD SINGAPORE 257485,71,NIL,1.31987769490269,103.813208840859,103.813208840859,257485,CLUNY PARK ROAD,71 CLUNY PARK ROAD SINGAPORE 257485,25761.9841081519,33570.8958379552
73 CLUNY PARK ROAD SINGAPORE 257486,73,NIL,1.31965438069957,103.812858385411,103.812858385411,257486,CLUNY PARK ROAD,73 CLUNY PARK ROAD SINGAPORE 257486,25722.9816621048,33546.2032168377
75 CLUNY PARK ROAD SINGAPORE 257487,75,NIL,1.31957003841144,103.812631769036,103.812631769036,257487,CLUNY PARK ROAD,75 CLUNY PARK ROAD SINGAPORE 257487,25697.7614094969,33536.8772878386
