ADDRESS,BLK_NO,BUILDING,LATITUDE,LONGITUDE,LONGTITUDE,POSTAL,ROAD_NAME,SEARCHVAL,X,Y
363 BELGRAVIA DRIVE BELGRAVIA GREEN SINGAPORE 804279,363,BELGRAVIA GREEN,1.37972739819927,103.864676372987,103.864676372987,804279,BELGRAVIA DRIVE,BELGRAVIA GREEN,31489.7285725335,40188.7842316981
203 BELGRAVIA DRIVE BELGRAVIA GREEN SINGAPORE 804280,203,BELGRAVIA GREEN,1.37978911688869,103.864477730868,103.864477730868,804280,BELGRAVIA DRIVE,BELGRAVIA GREEN,31467.6221084818,40195.6084815748
205 BELGRAVIA DRIVE BELGRAVIA GREEN SINGAPORE 804281,205,BELGRAVIA GREEN,1.37981955075485,103.864437447729,103.864437447729,804281,BELGRAVIA DRIVE,BELGRAVIA GREEN,31463.1390568782,40198.9736457374
207 BELGRAVIA DRIVE BELGRAVIA GREEN SINGAPORE 804282,207,BELGRAVIA GREEN,1.37986228419506,103.864380884828,103.864380884828,804282,BELGRAVIA DRIVE,BELGRAVIA GREEN,31456.8442545719,40203.6988109425
209 BELGRAVIA DRIVE BELGRAVIA GREEN SINGAPORE 804283,209,BELGRAVIA GREEN,1.3798944316565,103.864338333394,103.864338333394,804283,BELGRAVIA DRIVE,BELGRAVIA GREEN,31452.1087679835,40207.2534526829
211 BELGRAVIA DRIVE BELGRAVIA GREEN SINGAPORE 804284,211,BELGRAVIA GREEN,1.37993900625294,103.864279333299,103.864279333299,804284,BELGRAVIA DRIVE,BELGRAVIA GREEN,31445.5427342756,40212.182200348
213 BELGRAVIA DRIVE BELGRAVIA GREEN SINGAPORE 804285,213,BELGRAVIA GREEN,1.3799710152014,103.864236965447,103.864236965447,804285,BELGRAVIA DRIVE,BELGRAVIA GREEN,31440.8276785761,40215.7215264868
215 BELGRAVIA DRIVE BELGRAVIA GREEN SINGAPORE 804286,215,BELGRAVIA GREEN,1.38001720327038,103.864170756804,103.864170756804,804286,BELGRAVIA DRIVE,BELGRAVIA GREEN,31433.4594222279,40220.8286736477
217 BELGRAVIA DRIVE BELGRAVIA GREEN SINGAPORE 804287,217,BELGRAVIA GREEN,1.38003691783733,103.864124235109,103.864124235109,804287,BELGRAVIA DRIVE,BELGRAVIA GREEN,31428.2821138809,40223.0085435677
219 BELGRAVIA DRIVE BELGRAVIA GREEN SINGAPORE 804288,219,BELGRAVIA GREEN,1.38005668605662,103.864077588303,103.864077588303,804288,BELGRAVIA DRIVE,BELGRAVIA GREEN,31423.0908822622,40225.1943460107
221 BELGRAVIA DRIVE BELGRAVIA GREEN SINGAPORE 804289,221,BELGRAVIA GREEN,1.38007624951665,103.864031423714,103.864031423714,804289,BELGRAVIA DRIVE,BELGRAVIA GREEN,31417.9533157777,40227.3575080037
223 BELGRAVIA DRIVE BELGRAVIA GREEN SINGAPORE 804290,223,BELGRAVIA GREEN,1.38009558932926,103.863985787851,103.863985787851,804290,BELGRAVIA DRIVE,BELGRAVIA GREEN,31412.8745902535,40229.4959410541
