ADDRESS,BLK_NO,BUILDING,LATITUDE,LONGITUDE,LONGTITUDE,POSTAL,ROAD_NAME,SEARCHVAL,X,Y
2C GEYLANG SERAI SRI GEYLANG SERAI SINGAPORE 405002,2C,SRI GEYLANG SERAI,1.31750146062242,103.898206520651,103.898206520651,405002,GEYLANG SERAI,SRI GEYLANG SERAI,35221.3973368844,33308.2289737333
2D GEYLANG SERAI SRI GEYLANG SERAI SINGAPORE 406002,2D,SRI GEYLANG SERAI,1.31757124294126,103.898647745081,103.898647745081,406002,GEYLANG SERAI,SRI GEYLANG SERAI,35270.5011474052,33315.9464318082
10A EUNOS ROAD 1 MWOC@EUNOS SINGAPORE 408523,10A,MWOC@EUNOS,1.32304461513795,103.901038831021,103.901038831021,408523,EUNOS ROAD 1,MWOC@EUNOS,35536.5894137025,33921.1713530906
1 ENGKU AMAN TURN GEYLANG SERAI COMMUNITY CLUB SINGAPORE 408528,1,GEYLANG SERAI COMMUNITY CLUB,1.31649443408571,103.896941669743,103.896941669743,408528,ENGKU AMAN TURN,GEYLANG SERAI COMMUNITY CLUB,35080.6345046721,33196.8734551203
1 PAYA LEBAR LINK INTELLECTUAL PROPERTY OFFICE OF SINGAPORE (IPOS) SINGAPORE 408533,1,INTELLECTUAL PROPERTY OFFICE OF SINGAPORE (IPOS),1.31762560629098,103.893887524825,103.893887524825,408533,PAYA LEBAR LINK,INTELLECTUAL PROPERTY OFFICE OF SINGAPORE (IPOS),34740.7345516738,33321.9442749266
8 UBI ROAD 2 ZERVEX SINGAPORE 408538,8,ZERVEX,1.33413846128916,103.895447517475,103.895447517475,408538,UBI ROAD 2,ZERVEX,34914.3008257952,35147.8564275652
10 UBI VIEW SINGAPORE 408543,10,NIL,1.33223534716933,103.896134187626,103.896134187626,408543,UBI VIEW,10 UBI VIEW SINGAPORE 408543,34990.7254264588,34937.4216305185
6 UBI VIEW KAI LIM @ UBI SINGAPORE 408544,6,KAI LIM @ UBI,1.33248545394493,103.896796358251,103.896796358251,408544,UBI VIEW,KAI LIM @ UBI,35064.4174638204,34965.0790611748
5 UBI LINK SINGAPORE 408548,5,NIL,1.33250420880171,103.892950268669,103.892950268669,408548,UBI LINK,5 UBI LINK SINGAPORE 408548,34636.387433351,34967.1421874817
9 UBI LINK SINGAPORE 408549,9,NIL,1.333069776016,103.892747686811,103.892747686811,408549,UBI LINK,9 UBI LINK SINGAPORE 408549,34613.8406609409,35029.679201588
1 UBI LINK CHALLENGER TECHUB SINGAPORE 408553,1,CHALLENGER TECHUB,1.33202822724006,103.893139635715,103.893139635715,408553,UBI LINK,CHALLENGER TECHUB,34657.4633028256,34914.5110672098
8 UBI VIEW SINGAPORE 408554,8,NIL,1.33212787213959,103.896576451243,103.896576451243,408554,UBI VIEW,8 UBI VIEW SINGAPORE 408554,35039.9451028211,34925.5388438627
1 UBI VIEW FOCUS ONE SINGAPORE 408555,1,FOCUS ONE,1.33173589506974,103.896945634433,103.896945634433,408555,UBI VIEW,FOCUS ONE,35081.0324983895,34882.1970585976
2 UBI VIEW E-PARK @ UBI SINGAPORE 408556,2,E-PARK @ UBI,1.33278132667014,103.897366855354,103.897366855354,408556,UBI VIEW,E-PARK @ UBI,35127.9070416419,34997.7968144231
4 UBI VIEW PIONEERS & LEADERS CENTRE SINGAPORE 408557,4,PIONEERS & LEADERS CENTRE,1.33260915139672,103.897119546923,103.897119546923,408557,UBI VIEW,PIONEERS & LEADERS CENTRE,35100.3846667269,34978.7578289136
3 UBI CRESCENT YONG LEE BUILDING SINGAPORE 408558,3,YONG LEE BUILDING,1.3258811646763,103.893854527361,103.893854527361,408558,UBI CRESCENT,YONG LEE BUILDING,34737.0400113128,34234.8019651659
65 UBI CRESCENT HOLA CENTRE SINGAPORE 408559,65,HOLA CENTRE,1.32831420921853,103.898019439173,103.898019439173,408559,UBI CRESCENT,HOLA CENTRE,35200.5458137058,34503.847443739
67 UBI CRESCENT TECHNIQUES CENTRE SINGAPORE 408560,67,TECHNIQUES CENTRE,1.32792064005907,103.8980936083,103.8980936083,408560,UBI CRESCENT,TECHNIQUES CENTRE,35208.8012246564,34460.3287723791
69 UBI CRESCENT CES BUILDING SINGAPORE 408561,69,CES BUILDING,1.32749443475418,103.898181247169,103.898181247169,408561,UBI CRESCENT,CES BUILDING,35218.5557785733,34413.2014006581
22 UBI CRESCENT UBI TECHPARK SINGAPORE 408562,22,UBI TECHPARK,1.32758562437305,103.897621350535,103.897621350535,408562,UBI CRESCENT,UBI TECHPARK,35156.2446846971,34423.2830606755
1 UBI CRESCENT FRUITFUL VINE CHURCH SINGAPORE 408563,1,FRUITFUL VINE CHURCH,1.32550789701754,103.893950151721,103.893950151721,408563,UBI CRESCENT,FRUITFUL VINE CHURCH,34747.6830516234,34193.5281793531
10 UBI CRESCENT ART RETREAT MUSEUM SINGAPORE 408564,10,ART RETREAT MUSEUM,1.32627524038921,103.896130679533,103.896130679533,408564,UBI CRESCENT,ART RETREAT MUSEUM,34990.3517681994,34278.38317018
20 UBI CRESCENT UBI TECHPARK SINGAPORE 408565,20,UBI TECHPARK,1.32739218582108,103.897394495081,103.897394495081,408565,UBI CRESCENT,UBI TECHPARK,35130.9985226942,34401.8929489944
30 UBI CRESCENT UBI TECHPARK SINGAPORE 408566,30,UBI TECHPARK,1.32759127724718,103.897316503424,103.897316503424,408566,UBI CRESCENT,UBI TECHPARK,35122.3182703238,34423.9072470348
40 UBI CRESCENT UBI TECHPARK SINGAPORE 408567,40,UBI TECHPARK,1.32702030230375,103.896443835558,103.896443835558,408567,UBI CRESCENT,UBI TECHPARK,35025.2007809849,34360.7692318447
50 UBI CRESCENT UBI TECHPARK SINGAPORE 408568,50,UBI TECHPARK,1.32722195124679,103.896363575633,103.896363575633,408568,UBI CRESCENT,UBI TECHPARK,35016.2680936297,34383.0663236585
60 UBI CRESCENT UBI TECHPARK SINGAPORE 408569,60,UBI TECHPARK,1.32650810589222,103.89511715465,103.89511715465,408569,UBI CRESCENT,UBI TECHPARK,34877.5560081182,34304.1294198111
70 UBI CRESCENT UBI TECHPARK SINGAPORE 408570,70,UBI TECHPARK,1.32671017775959,103.895045994897,103.895045994897,408570,UBI CRESCENT,UBI TECHPARK,34869.6360874986,34326.4733059257
71 UBI CRESCENT EXCALIBUR CENTRE SINGAPORE 408571,71,EXCALIBUR CENTRE,1.3268691268578,103.898333225017,103.898333225017,408571,UBI CRESCENT,EXCALIBUR CENTRE,35235.4711926132,34344.0584596433
9 UBI CRESCENT SINGAPORE 408572,9,NIL,1.32682361755792,103.893978579469,103.893978579469,408572,UBI CRESCENT,9 UBI CRESCENT SINGAPORE 408572,34750.8432107316,34339.0139672086
11 UBI CRESCENT SINGAPORE 408573,11,NIL,1.32687316026442,103.894108163603,103.894108163603,408573,UBI CRESCENT,11 UBI CRESCENT SINGAPORE 408573,34765.264482378,34344.4925025292
13 UBI CRESCENT SINGAPORE 408574,13,NIL,1.32692012599485,103.894228660477,103.894228660477,408574,UBI CRESCENT,13 UBI CRESCENT SINGAPORE 408574,34778.674440152,34349.6860647835
15 UBI CRESCENT SINGAPORE 408575,15,NIL,1.32696696710119,103.894351959503,103.894351959503,408575,UBI CRESCENT,15 UBI CRESCENT SINGAPORE 408575,34792.3962489618,34354.8658551052
17 UBI CRESCENT SINGAPORE 408576,17,NIL,1.32701374367907,103.894472086497,103.894472086497,408576,UBI CRESCENT,17 UBI CRESCENT SINGAPORE 408576,34805.7650422789,34360.0385021828
19 UBI CRESCENT SINGAPORE 408577,19,NIL,1.3270600405944,103.894595288423,103.894595288423,408577,UBI CRESCENT,19 UBI CRESCENT SINGAPORE 408577,34819.4760454185,34365.1581197511
21 UBI CRESCENT SINGAPORE 408578,21,NIL,1.3271063244384,103.894715517403,103.894715517403,408578,UBI CRESCENT,21 UBI CRESCENT SINGAPORE 408578,34832.8561892286,34370.2762844581
23 UBI CRESCENT SINGAPORE 408579,23,NIL,1.32715555057001,103.894838137385,103.894838137385,408579,UBI CRESCENT,23 UBI CRESCENT SINGAPORE 408579,34846.5024188841,34375.7197997216
25 UBI CRESCENT SINGAPORE 408580,25,NIL,1.32720239637716,103.894958282348,103.894958282348,408580,UBI CRESCENT,25 UBI CRESCENT SINGAPORE 408580,34859.8732098872,34380.9001045991
27 UBI CRESCENT SINGAPORE 408581,27,NIL,1.32724980900414,103.89508139756,103.89508139756,408581,UBI CRESCENT,27 UBI CRESCENT SINGAPORE 408581,34873.57455754,34386.1430944707
29 UBI CRESCENT SINGAPORE 408582,29,NIL,1.32729584372453,103.895201708687,103.895201708687,408582,UBI CRESCENT,29 UBI CRESCENT SINGAPORE 408582,34886.9638422811,34391.2337153126
31 UBI CRESCENT SINGAPORE 408583,31,NIL,1.32734346437911,103.895324690101,103.895324690101,408583,UBI CRESCENT,31 UBI CRESCENT SINGAPORE 408583,34900.6502980869,34396.4997088518
33 UBI CRESCENT SINGAPORE 408584,33,NIL,1.32739026609952,103.895444481513,103.895444481513,408584,UBI CRESCENT,33 UBI CRESCENT SINGAPORE 408584,34913.9817407113,34401.6751405839
35 UBI CRESCENT ATT BUILDING SINGAPORE 408585,35,ATT BUILDING,1.32741922062852,103.895578339264,103.895578339264,408585,UBI CRESCENT,ATT BUILDING,34928.8786737211,34404.8771603126
37 UBI CRESCENT SINGAPORE 408586,37,NIL,1.32752218168269,103.895782062536,103.895782062536,408586,UBI CRESCENT,37 UBI CRESCENT SINGAPORE 408586,34951.5507253166,34416.2626439966
39 UBI CRESCENT POWERPLUS BUILDING SINGAPORE 408587,39,POWERPLUS BUILDING,1.3275667389875,103.895925603518,103.895925603518,408587,UBI CRESCENT,POWERPLUS BUILDING,34967.5252590831,34421.1899690647
41 UBI CRESCENT SINGAPORE 408588,41,NIL,1.32761894012619,103.89603192964,103.89603192964,408588,UBI CRESCENT,41 UBI CRESCENT SINGAPORE 408588,34979.3581338339,34426.9624065086
43 UBI CRESCENT SINGAPORE 408589,43,NIL,1.3276668366752,103.896154324987,103.896154324987,408589,UBI CRESCENT,43 UBI CRESCENT SINGAPORE 408589,34992.9793621339,34432.2589101754
45 UBI CRESCENT SINGAPORE 408590,45,NIL,1.32771240981327,103.896275193688,103.896275193688,408590,UBI CRESCENT,45 UBI CRESCENT SINGAPORE 408590,35006.4306962425,34437.2984991949
47 UBI CRESCENT SINGAPORE 408591,47,NIL,1.32776009064496,103.896397718498,103.896397718498,408591,UBI CRESCENT,47 UBI CRESCENT SINGAPORE 408591,35020.0663321028,34442.5711516906
49 UBI CRESCENT SINGAPORE 408592,49,NIL,1.32780851581846,103.896517567376,103.896517567376,408592,UBI CRESCENT,49 UBI CRESCENT SINGAPORE 408592,35033.4041612716,34447.9261028338
51 UBI CRESCENT SINGAPORE 408593,51,NIL,1.32785922500515,103.896648306984,103.896648306984,408593,UBI CRESCENT,51 UBI CRESCENT SINGAPORE 408593,35047.9540113127,34453.5336403027
53 UBI CRESCENT SINGAPORE 408594,53,NIL,1.32796695667382,103.896933072817,103.896933072817,408594,UBI CRESCENT,53 UBI CRESCENT SINGAPORE 408594,35079.6452561598,34465.4468765501
55 UBI CRESCENT SINGAPORE 408595,55,NIL,1.32801674180429,103.897060397779,103.897060397779,408595,UBI CRESCENT,55 UBI CRESCENT SINGAPORE 408595,35093.8150916658,34470.9522293042
57 UBI CRESCENT SINGAPORE 408596,57,NIL,1.3280634415973,103.897180603467,103.897180603467,408596,UBI CRESCENT,57 UBI CRESCENT SINGAPORE 408596,35107.1926324293,34476.1164013464
