ADDRESS,BLK_NO,BUILDING,LATITUDE,LONGITUDE,LONGTITUDE,POSTAL,ROAD_NAME,SEARCHVAL,X,Y
1F PINE GROVE PINE GROVE SINGAPORE 595001,1F,PINE GROVE,1.31754733009386,103.775887243936,103.775887243936,595001,PINE GROVE,PINE GROVE,21608.4509016164,33313.2807002142
1G PINE GROVE PINE GROVE SINGAPORE 596001,1G,PINE GROVE,1.31837805208459,103.776057371128,103.776057371128,596001,PINE GROVE,PINE GROVE,21627.3865219615,33405.137281036
148F LORONG KISMIS SINGAPORE 596100,148F,NIL,1.33665321698221,103.766674960858,103.766674960858,596100,LORONG KISMIS,148F LORONG KISMIS SINGAPORE 596100,20583.269873986,35425.9386548232
148G LORONG KISMIS SINGAPORE 596101,148G,NIL,1.33664280541795,103.76661974554,103.76661974554,596101,LORONG KISMIS,148G LORONG KISMIS SINGAPORE 596101,20577.1249587359,35424.7875634022
13 KING ALBERT PARK KING ALBERT PARK SINGAPORE 596105,13,KING ALBERT PARK,1.33581221935908,103.778941543816,103.778941543816,596105,KING ALBERT PARK,KING ALBERT PARK,21948.4092718232,35332.9117624108
30B KING ALBERT PARK SINGAPORE 596106,30B,NIL,1.33219225688996,103.779630153683,103.779630153683,596106,KING ALBERT PARK,30B KING ALBERT PARK SINGAPORE 596106,22025.0355783291,34932.6329933498
32A TOH TUCK ROAD FORETT@BUKIT TIMAH SINGAPORE 596110,32A,FORETT@BUKIT TIMAH,1.33990856202052,103.767855539232,103.767855539232,596110,TOH TUCK ROAD,FORETT@BUKIT TIMAH,20714.6654311335,35785.8947489243
32B TOH TUCK ROAD FORETT@BUKIT TIMAH SINGAPORE 596111,32B,FORETT@BUKIT TIMAH,1.3402293279489,103.767760369698,103.767760369698,596111,TOH TUCK ROAD,FORETT@BUKIT TIMAH,20704.0750268465,35821.3637105525
34A TOH TUCK ROAD FORETT@BUKIT TIMAH SINGAPORE 596112,34A,FORETT@BUKIT TIMAH,1.34063273758988,103.768101961801,103.768101961801,596112,TOH TUCK ROAD,FORETT@BUKIT TIMAH,20742.0917657353,35865.9696986917
34B TOH TUCK ROAD FORETT@BUKIT TIMAH SINGAPORE 596113,34B,FORETT@BUKIT TIMAH,1.34099955502788,103.768336674769,103.768336674769,596113,TOH TUCK ROAD,FORETT@BUKIT TIMAH,20768.2138831867,35906.5298259836
36A TOH TUCK ROAD FORETT@BUKIT TIMAH SINGAPORE 596114,36A,FORETT@BUKIT TIMAH,1.34103498884689,103.769117659528,103.769117659528,596114,TOH TUCK ROAD,FORETT@BUKIT TIMAH,20855.129215667,35910.4456253052
