ADDRESS,BLK_NO,BUILDING,LATITUDE,LONGITUDE,LONGTITUDE,POSTAL,ROAD_NAME,SEARCHVAL,X,Y
3A ENGINEERING DRIVE 2 NATIONAL UNIVERSITY OF SINGAPORE (LT5) SINGAPORE 117275,3A,NATIONAL UNIVERSITY OF SINGAPORE (LT5),1.29800154689217,103.771466764969,103.771466764969,117275,ENGINEERING DRIVE 2,NATIONAL UNIVERSITY OF SINGAPORE (LT5),21116.4411335979,31152.0190832503
49 NORMANTON PARK NORMANTON PARK SINGAPORE 117280,49,NORMANTON PARK,1.28630919606818,103.792702828649,103.792702828649,117280,NORMANTON PARK,NORMANTON PARK,23479.8066785773,29859.0910432786
51 NORMANTON PARK NORMANTON PARK SINGAPORE 117281,51,NORMANTON PARK,1.28615150445543,103.792222167562,103.792222167562,117281,NORMANTON PARK,NORMANTON PARK,23426.3128299657,29841.6551712584
53 NORMANTON PARK NORMANTON PARK SINGAPORE 117282,53,NORMANTON PARK,1.2860062587817,103.791721078676,103.791721078676,117282,NORMANTON PARK,NORMANTON PARK,23370.5455530984,29825.5955541898
55 NORMANTON PARK NORMANTON PARK SINGAPORE 117283,55,NORMANTON PARK,1.28629143122643,103.791268407311,103.791268407311,117283,NORMANTON PARK,NORMANTON PARK,23320.167520999,29857.1292844489
57 NORMANTON PARK NORMANTON PARK SINGAPORE 117284,57,NORMANTON PARK,1.28670074148056,103.790979496973,103.790979496973,117284,NORMANTON PARK,NORMANTON PARK,23288.0149618117,29902.3892426454
59 NORMANTON PARK NORMANTON PARK SINGAPORE 117285,59,NORMANTON PARK,1.28702848318685,103.791616124392,103.791616124392,117285,NORMANTON PARK,NORMANTON PARK,23358.8668634566,29938.6280704383
61 NORMANTON PARK NORMANTON PARK SINGAPORE 117286,61,NORMANTON PARK,1.28736530376366,103.792142440238,103.792142440238,117286,NORMANTON PARK,NORMANTON PARK,23417.4420103701,29975.8710083235
63 NORMANTON PARK NORMANTON PARK SINGAPORE 117287,63,NORMANTON PARK,1.28749884272581,103.79199034292,103.79199034292,117287,NORMANTON PARK,NORMANTON PARK,23400.5150944963,29990.6373349838
2 SPORTS DRIVE NATIONAL UNIVERSITY OF SINGAPORE (MULTI-PURPOSE SPORTS HALL 1-4) SINGAPORE 117288,2,NATIONAL UNIVERSITY OF SINGAPORE (MULTI-PURPOSE SPORTS HALL 1-4),1.30077709688872,103.776020590266,103.776020590266,117288,SPORTS DRIVE,NATIONAL UNIVERSITY OF SINGAPORE (MULTI-PURPOSE SPORTS HALL 1-4),21623.2486767117,31458.9133134037
4 SPORTS DRIVE NATIONAL UNIVERSITY OF SINGAPORE (MULTI-PURPOSE SPORTS HALL 1-4) SINGAPORE 117289,4,NATIONAL UNIVERSITY OF SINGAPORE (MULTI-PURPOSE SPORTS HALL 1-4),1.30077709688872,103.776020590538,103.776020590538,117289,SPORTS DRIVE,NATIONAL UNIVERSITY OF SINGAPORE (MULTI-PURPOSE SPORTS HALL 1-4),21623.2487069797,31458.9133134037
