ADDRESS,BLK_NO,BUILDING,LATITUDE,LONGITUDE,LONGTITUDE,POSTAL,ROAD_NAME,SEARCHVAL,X,Y
50A DAIRY FARM WALK TEMPORARY SITE OFFICE SINGAPORE 677610,50A,TEMPORARY SITE OFFICE,1.36746366176133,103.774031454079,103.774031454079,677610,DAIRY FARM WALK,TEMPORARY SITE OFFICE,21402.0533087719,38832.7811642103
12 DAIRY FARM LANE DAIRY FARM RESIDENCES SINGAPORE 677615,12,DAIRY FARM RESIDENCES,1.36637483509423,103.77508249911,103.77508249911,677615,DAIRY FARM LANE,DAIRY FARM RESIDENCES,21519.0191495055,38712.3813299201
2 DAIRY FARM LANE GERMAN EUROPEAN SCHOOL SINGAPORE SINGAPORE 677621,2,GERMAN EUROPEAN SCHOOL SINGAPORE,1.3653701029141,103.773296980208,103.773296980208,677621,DAIRY FARM LANE,GERMAN EUROPEAN SCHOOL SINGAPORE,21320.3093521139,38601.2879925817
4 DAIRY FARM LANE DAIRY FARM RESIDENCES SINGAPORE 677622,4,DAIRY FARM RESIDENCES,1.3655707838852,103.77504908361,103.77504908361,677622,DAIRY FARM LANE,DAIRY FARM RESIDENCES,21515.2982457317,38623.4734863397
6 DAIRY FARM LANE DAIRY FARM RESIDENCES SINGAPORE 677623,6,DAIRY FARM RESIDENCES,1.36630264684358,103.774501564913,103.774501564913,677623,DAIRY FARM LANE,DAIRY FARM RESIDENCES,21454.3678864688,38704.4006917253
8 DAIRY FARM LANE DAIRY FARM RESIDENCES SINGAPORE 677624,8,DAIRY FARM RESIDENCES,1.36681214110944,103.774500573666,103.774500573666,677624,DAIRY FARM LANE,DAIRY FARM RESIDENCES,21454.2589519955,38760.7380055301
10 DAIRY FARM LANE DAIRY FARM RESIDENCES SINGAPORE 677625,10,DAIRY FARM RESIDENCES,1.36681596519229,103.775037535579,103.775037535579,677625,DAIRY FARM LANE,DAIRY FARM RESIDENCES,21514.0164268892,38761.1593963988
2 SENJA CLOSE SINGAPORE 677632,2,NIL,1.38719400415283,103.761083976377,103.761083976377,677632,SENJA CLOSE,2 SENJA CLOSE SINGAPORE 677632,19961.2195859151,41014.5033630766
250A WOODLANDS ROAD TEMPORARY SITE OFFICE SINGAPORE 677636,250A,TEMPORARY SITE OFFICE,1.38958970728587,103.755254295804,103.755254295804,677636,WOODLANDS ROAD,TEMPORARY SITE OFFICE,19312.4596182927,41279.428915048
301A WOODLANDS ROAD TEMPORARY SITE OFFICE SINGAPORE 677637,301A,TEMPORARY SITE OFFICE,1.39131687498852,103.754014984209,103.754014984209,677637,WOODLANDS ROAD,TEMPORARY SITE OFFICE,19174.5466680871,41470.4151402302
500A WOODLANDS ROAD TEMPORARY SITE OFFICE SINGAPORE 677638,500A,TEMPORARY SITE OFFICE,1.40441401478754,103.756735814772,103.756735814772,677638,WOODLANDS ROAD,TEMPORARY SITE OFFICE,19477.3869558414,42918.6218412407
7 SENJA LINK SINGAPORE 677641,7,NIL,1.38615206922783,103.763180911446,103.763180911446,677641,SENJA LINK,7 SENJA LINK SINGAPORE 677641,20194.5781431114,40899.2843784876
178 CASHEW CRESCENT CASHEW GREEN SINGAPORE 677656,178,CASHEW GREEN,1.37273081556583,103.769309854759,103.769309854759,677656,CASHEW CRESCENT,CASHEW GREEN,20876.6112209465,39415.210086504
11 DAIRY FARM HEIGHTS THE SKYWOODS SINGAPORE 677661,11,THE SKYWOODS,1.36588455420503,103.77173761334,103.77173761334,677661,DAIRY FARM HEIGHTS,THE SKYWOODS,21146.771741773,38658.1778181624
13 DAIRY FARM HEIGHTS THE SKYWOODS SINGAPORE 677662,13,THE SKYWOODS,1.36546552129851,103.771773342397,103.771773342397,677662,DAIRY FARM HEIGHTS,THE SKYWOODS,21150.7467755387,38611.8431649357
1 DAIRY FARM HEIGHTS THE SKYWOODS SINGAPORE 677666,1,THE SKYWOODS,1.36511741418017,103.77187324567,103.77187324567,677666,DAIRY FARM HEIGHTS,THE SKYWOODS,21161.8638427425,38573.3509462923
3 DAIRY FARM HEIGHTS THE SKYWOODS SINGAPORE 677667,3,THE SKYWOODS,1.36501270311651,103.771550946817,103.771550946817,677667,DAIRY FARM HEIGHTS,THE SKYWOODS,21125.9954950698,38561.7734425198
5 DAIRY FARM HEIGHTS THE SKYWOODS SINGAPORE 677668,5,THE SKYWOODS,1.36524853727336,103.771277662285,103.771277662285,677668,DAIRY FARM HEIGHTS,THE SKYWOODS,21095.58283039,38587.85158059
7 DAIRY FARM HEIGHTS THE SKYWOODS SINGAPORE 677669,7,THE SKYWOODS,1.36555402037806,103.771063169767,103.771063169767,677669,DAIRY FARM HEIGHTS,THE SKYWOODS,21071.7132260185,38621.6309833676
9 DAIRY FARM HEIGHTS THE SKYWOODS SINGAPORE 677670,9,THE SKYWOODS,1.36572851408377,103.771413333255,103.771413333255,677670,DAIRY FARM HEIGHTS,THE SKYWOODS,21110.6827707672,38640.9246134236
8 JELEBU ROAD HILLION RESIDENCES SINGAPORE 677671,8,HILLION RESIDENCES,1.37861654539376,103.762615523169,103.762615523169,677671,JELEBU ROAD,HILLION RESIDENCES,20131.6328441724,40066.0456508417
