ADDRESS,BLK_NO,BUILDING,LATITUDE,LONGITUDE,LONGTITUDE,POSTAL,ROAD_NAME,SEARCHVAL,X,Y
111 PLANTATION CRESCENT PLANTATION ACRES SINGAPORE 690111,111,PLANTATION ACRES,1.3561912992951,103.734114100714,103.734114100714,690111,PLANTATION CRESCENT,PLANTATION ACRES,16959.6752458643,37586.4855538886
112 PLANTATION CRESCENT PLANTATION ACRES SINGAPORE 690112,112,PLANTATION ACRES,1.35544801614242,103.73464245059,103.73464245059,690112,PLANTATION CRESCENT,PLANTATION ACRES,17018.4712582557,37504.2945693806
113 PLANTATION CRESCENT PLANTATION ACRES SINGAPORE 690113,113,PLANTATION ACRES,1.35336690027972,103.73517334961,103.73517334961,690113,PLANTATION CRESCENT,PLANTATION ACRES,17077.5450096643,37274.1726584863
116 PLANTATION CRESCENT PLANTATION GROVE SINGAPORE 690116,116,PLANTATION GROVE,1.35620059863533,103.734882658933,103.734882658933,690116,PLANTATION CRESCENT,PLANTATION GROVE,17045.207119613,37587.5103370138
117 PLANTATION CRESCENT PLANTATION GROVE SINGAPORE 690117,117,PLANTATION GROVE,1.35634555202361,103.735823490539,103.735823490539,690117,PLANTATION CRESCENT,PLANTATION GROVE,17149.9116725549,37603.5343286656
119 PLANTATION CRESCENT PLANTATION GROVE SINGAPORE 690119,119,PLANTATION GROVE,1.35675242730193,103.734500042413,103.734500042413,690119,PLANTATION CRESCENT,PLANTATION GROVE,17002.628723166,37648.5305619203
120 TENGAH DRIVE PLANTATION GROVE SINGAPORE 690120,120,PLANTATION GROVE,1.35784773875571,103.736307726378,103.736307726378,690120,TENGAH DRIVE,PLANTATION GROVE,17203.8082972253,37769.6365482714
123 TENGAH DRIVE PLANTATION VILLAGE SINGAPORE 690123,123,PLANTATION VILLAGE,1.3592172152625,103.734905102879,103.734905102879,690123,TENGAH DRIVE,PLANTATION VILLAGE,17047.7184542213,37921.0728098489
124 TENGAH DRIVE PLANTATION VILLAGE SINGAPORE 690124,124,PLANTATION VILLAGE,1.36006922627363,103.735001933477,103.735001933477,690124,TENGAH DRIVE,PLANTATION VILLAGE,17058.4984268909,38015.2835436407
125 TENGAH DRIVE PLANTATION VILLAGE SINGAPORE 690125,125,PLANTATION VILLAGE,1.35966943292675,103.73530335685,103.73530335685,690125,TENGAH DRIVE,PLANTATION VILLAGE,17092.041588054,37971.0750043951
127 PLANTATION CRESCENT PLANTATION VILLAGE SINGAPORE 690127,127,PLANTATION VILLAGE,1.35759319436135,103.734174851203,103.734174851203,690127,PLANTATION CRESCENT,PLANTATION VILLAGE,16966.4424405927,37741.4999148957
128 PLANTATION CRESCENT PLANTATION VILLAGE SINGAPORE 690128,128,PLANTATION VILLAGE,1.35791088964801,103.733310748988,103.733310748988,690128,PLANTATION CRESCENT,PLANTATION VILLAGE,16870.2791494392,37776.6330532432
129 PLANTATION CRESCENT PLANTATION VILLAGE SINGAPORE 690129,129,PLANTATION VILLAGE,1.35843575291656,103.733928579915,103.733928579915,690129,PLANTATION CRESCENT,PLANTATION VILLAGE,16939.0390793895,37834.6670086086
131 TENGAH GARDEN AVENUE PLANTATION GRANGE SINGAPORE 690131,131,PLANTATION GRANGE,1.35640375201259,103.731654738464,103.731654738464,690131,TENGAH GARDEN AVENUE,PLANTATION GRANGE,16685.9770333692,37609.9888853896
132 TENGAH GARDEN AVENUE PLANTATION GRANGE SINGAPORE 690132,132,PLANTATION GRANGE,1.35763030293473,103.732687771396,103.732687771396,690132,TENGAH GARDEN AVENUE,PLANTATION GRANGE,16800.9475480802,37745.6100346725
133 TENGAH GARDEN AVENUE PLANTATION GRANGE SINGAPORE 690133,133,PLANTATION GRANGE,1.3560108968173,103.731127833676,103.731127833676,690133,TENGAH GARDEN AVENUE,PLANTATION GRANGE,16627.3366589509,37566.5513624921
