ADDRESS,BLK_NO,BUILDING,LATITUDE,LONGITUDE,LONGTITUDE,POSTAL,ROAD_NAME,SEARCHVAL,X,Y
1 BERNAM STREET ONE BERNAM SINGAPORE 078852,1,ONE BERNAM,1.2738629435052,103.843710484506,103.843710484506,078852,BERNAM STREET,ONE BERNAM,29156.5376042742,28482.8151159249
2 COOK STREET MAXWELL RESERVE SINGAPORE 078857,2,MAXWELL RESERVE,1.27915221935445,103.844367347326,103.844367347326,078857,COOK STREET,MAXWELL RESERVE,29229.6387803247,29067.6761917807
1 GOPENG STREET CARLTON CITY HOTEL SINGAPORE SINGAPORE 078862,1,CARLTON CITY HOTEL SINGAPORE,1.27600907651345,103.843710712306,103.843710712306,078862,GOPENG STREET,CARLTON CITY HOTEL SINGAPORE,29156.5620002691,28720.1234028526
1 TRAS LINK ORCHID HOTEL SINGAPORE 078867,1,ORCHID HOTEL,1.2769035925169,103.843854230672,103.843854230672,078867,TRAS LINK,ORCHID HOTEL,29172.5340520609,28819.0344215669
12 GOPENG STREET ICON SINGAPORE 078877,12,ICON,1.27516997523174,103.844496312645,103.844496312645,078877,GOPENG STREET,ICON,29243.993492675,28627.3402887806
10 GOPENG STREET ICON SINGAPORE 078878,10,ICON,1.27516997577919,103.844496312645,103.844496312645,078878,GOPENG STREET,ICON,29243.993492675,28627.3403493166
1 WALLICH STREET GUOCO TOWER SINGAPORE 078881,1,GUOCO TOWER,1.27686599456622,103.845891756719,103.845891756719,078881,WALLICH STREET,GUOCO TOWER,29399.2944914866,28814.878052311
3 WALLICH STREET GUOCO TOWER SINGAPORE 078882,3,GUOCO TOWER,1.27679992796433,103.845618295657,103.845618295657,078882,WALLICH STREET,GUOCO TOWER,29368.8604878783,28807.572602028
5 WALLICH STREET GUOCO TOWER SINGAPORE 078883,5,GUOCO TOWER,1.27679992796433,103.845618295657,103.845618295657,078883,WALLICH STREET,GUOCO TOWER,29368.8604878783,28807.572602028
7 WALLICH STREET GUOCO TOWER SINGAPORE 078884,7,GUOCO TOWER,1.27679934512004,103.845460373051,103.845460373051,078884,WALLICH STREET,GUOCO TOWER,29351.2849593814,28807.5080706868
9 WALLICH STREET GUOCO TOWER SINGAPORE 078885,9,GUOCO TOWER,1.27679992796433,103.845618295657,103.845618295657,078885,WALLICH STREET,GUOCO TOWER,29368.8604878783,28807.572602028
32 TRAS STREET ST SIGNATURE TANJONG PAGAR SINGAPORE 078972,32,ST SIGNATURE TANJONG PAGAR,1.27864900652669,103.844260763444,103.844260763444,078972,TRAS STREET,ST SIGNATURE TANJONG PAGAR,29217.7770904545,29012.0334676672
33 TRAS STREET TANJONG PAGAR CONSERVATION AREA SINGAPORE 078973,33,TANJONG PAGAR CONSERVATION AREA,1.27847136624326,103.844606849988,103.844606849988,078973,TRAS STREET,TANJONG PAGAR CONSERVATION AREA,29256.2938261656,28992.3910899013
36 TRAS STREET TANJONG PAGAR CONSERVATION AREA SINGAPORE 078975,36,TANJONG PAGAR CONSERVATION AREA,1.27844143979025,103.844302426339,103.844302426339,078975,TRAS STREET,TANJONG PAGAR CONSERVATION AREA,29222.4139336841,28989.0818307046
38 TRAS STREET TANJONG PAGAR CONSERVATION AREA SINGAPORE 078977,38,TANJONG PAGAR CONSERVATION AREA,1.27840011500572,103.844268889102,103.844268889102,078977,TRAS STREET,TANJONG PAGAR CONSERVATION AREA,29218.6815280756,28984.5123337395
