ADDRESS,BLK_NO,BUILDING,LATITUDE,LONGITUDE,LONGTITUDE,POSTAL,ROAD_NAME,SEARCHVAL,X,Y
1 FARRER PARK STATION ROAD CONNEXION SINGAPORE 217562,1,CONNEXION,1.31264476602917,103.854018095117,103.854018095117,217562,FARRER PARK STATION ROAD,CONNEXION,30303.6589854937,32771.1161870137
10 FARRER PARK STATION ROAD FARRER SQUARE SINGAPORE 217564,10,FARRER SQUARE,1.31206389297731,103.854821321571,103.854821321571,217564,FARRER PARK STATION ROAD,FARRER SQUARE,30393.050995741,32706.8869807422
12 FARRER PARK STATION ROAD FARRER SQUARE SINGAPORE 217565,12,FARRER SQUARE,1.31223691149552,103.854773930435,103.854773930435,217565,FARRER PARK STATION ROAD,FARRER SQUARE,30387.7766482392,32726.0184349418
2 FARRER PARK ROAD FARRER PARK PRIMARY SCHOOL SINGAPORE 217567,2,FARRER PARK PRIMARY SCHOOL,1.31250416162069,103.850902684573,103.850902684573,217567,FARRER PARK ROAD,FARRER PARK PRIMARY SCHOOL,29956.9435603339,32755.5662222542
24 TRURO ROAD SINGAPORE 217568,24,NIL,1.31379778745968,103.850143937269,103.850143937269,217568,TRURO ROAD,24 TRURO ROAD SINGAPORE 217568,29872.5012431964,32898.608142836
25 TRURO ROAD SINGAPORE 217569,25,NIL,1.31373230990512,103.849706137392,103.849706137392,217569,TRURO ROAD,25 TRURO ROAD SINGAPORE 217569,29823.7783552511,32891.3676476479
26 TRURO ROAD SINGAPORE 217570,26,NIL,1.31384645953151,103.850079222994,103.850079222994,217570,TRURO ROAD,26 TRURO ROAD SINGAPORE 217570,29865.2991278106,32903.9900022186
27 TRURO ROAD SINGAPORE 217571,27,NIL,1.31378863689702,103.849643034599,103.849643034599,217571,TRURO ROAD,27 TRURO ROAD SINGAPORE 217571,29816.7555776685,32897.5959511939
28 TRURO ROAD SINGAPORE 217572,28,NIL,1.31388670540674,103.850036414177,103.850036414177,217572,TRURO ROAD,28 TRURO ROAD SINGAPORE 217572,29860.5348866377,32908.440152524
30 TRURO ROAD SINGAPORE 217573,30,NIL,1.31395091457322,103.850010222793,103.850010222793,217573,TRURO ROAD,30 TRURO ROAD SINGAPORE 217573,29857.6199890012,32915.540052928
32 TRURO ROAD SINGAPORE 217574,32,NIL,1.3139606911208,103.849943245168,103.849943245168,217574,TRURO ROAD,32 TRURO ROAD SINGAPORE 217574,29850.1660137232,32916.6210436989
