ADDRESS,BLK_NO,BUILDING,LATITUDE,LONGITUDE,LONGTITUDE,POSTAL,ROAD_NAME,SEARCHVAL,X,Y
78B JALAN DERMAWAN HILLVIEW GARDEN ESTATE SINGAPORE 667957,78B,HILLVIEW GARDEN ESTATE,1.36069716996747,103.759275690019,103.759275690019,667957,JALAN DERMAWAN,HILLVIEW GARDEN ESTATE,19759.8897010488,38084.621955296
105 HILLVIEW RISE KINGSFORD . HILLVIEW PEAK SINGAPORE 667968,105,KINGSFORD . HILLVIEW PEAK,1.36484389694134,103.763727582766,103.763727582766,667968,HILLVIEW RISE,KINGSFORD . HILLVIEW PEAK,20255.3469621446,38543.1314821523
1 HILLVIEW RISE DBS HILLVIEW COMMUNITY CLUB SINGAPORE 667970,1,DBS HILLVIEW COMMUNITY CLUB,1.36194319593553,103.764296962629,103.764296962629,667970,HILLVIEW RISE,DBS HILLVIEW COMMUNITY CLUB,20318.7030278901,38222.3846854977
8 HILLVIEW RISE MIDWOOD SINGAPORE 667971,8,MIDWOOD,1.36286208839026,103.763433915546,103.763433915546,667971,HILLVIEW RISE,MIDWOOD,20222.6589017892,38323.9939738903
10 HILLVIEW RISE MIDWOOD SINGAPORE 667972,10,MIDWOOD,1.36410574565492,103.763670992519,103.763670992519,667972,HILLVIEW RISE,MIDWOOD,20249.0467721373,38461.5105951168
70 PHOENIX ROAD HILLSTA SINGAPORE 667973,70,HILLSTA,1.37652535037895,103.756538865376,103.756538865376,667973,PHOENIX ROAD,HILLSTA,19455.3688743021,39834.8326699398
2 HILLVIEW RISE THE HILLIER SINGAPORE 667978,2,THE HILLIER,1.36393203094063,103.764583569188,103.764583569188,667978,HILLVIEW RISE,THE HILLIER,20350.6052708523,38442.2991729025
4 HILLVIEW RISE HILLV2 SINGAPORE 667979,4,HILLV2,1.36355095770679,103.76423610633,103.76423610633,667979,HILLVIEW RISE,HILLV2,20311.9355304828,38400.1631127708
6 HILLVIEW RISE THE HILLIER SINGAPORE 667980,6,THE HILLIER,1.36303389442686,103.764128549082,103.764128549082,667980,HILLVIEW RISE,THE HILLIER,20299.9640283668,38342.9891918954
101 HILLVIEW RISE KINGSFORD . HILLVIEW PEAK SINGAPORE 667981,101,KINGSFORD . HILLVIEW PEAK,1.36478651146586,103.764763618001,103.764763618001,667981,HILLVIEW RISE,KINGSFORD . HILLVIEW PEAK,20370.6452791197,38536.7827725671
