ADDRESS,BLK_NO,BUILDING,LATITUDE,LONGITUDE,LONGTITUDE,POSTAL,ROAD_NAME,SEARCHVAL,X,Y
89A SIGLAP ROAD SINGAPORE 455000,89A,NIL,1.3168896337315,103.922234832938,103.922234832938,455000,SIGLAP ROAD,89A SIGLAP ROAD SINGAPORE 455000,37895.5192764718,33240.6587268822
89B SIGLAP ROAD SINGAPORE 455001,89B,NIL,1.3169593261099,103.922210484037,103.922210484037,455001,SIGLAP ROAD,89B SIGLAP ROAD SINGAPORE 455001,37892.8092022818,33248.3648647331
22A SIGLAP ROAD SINGAPORE 455002,22A,NIL,1.31080916733817,103.925595500197,103.925595500197,455002,SIGLAP ROAD,22A SIGLAP ROAD SINGAPORE 455002,38269.554190251,32568.3247217499
65A SIGLAP ROAD FRANKEL ESTATE SINGAPORE 455003,65A,FRANKEL ESTATE,1.31433163938904,103.922727650159,103.922727650159,455003,SIGLAP ROAD,FRANKEL ESTATE,37950.3752448857,32957.8104726411
14K SIGLAP ROAD SINGAPORE 455004,14K,NIL,1.30984212629525,103.926817017421,103.926817017421,455004,SIGLAP ROAD,14K SIGLAP ROAD SINGAPORE 455004,38405.5016889339,32461.399194967
14L SIGLAP ROAD SINGAPORE 455005,14L,NIL,1.30984212629525,103.926817017421,103.926817017421,455005,SIGLAP ROAD,14L SIGLAP ROAD SINGAPORE 455005,38405.5016889339,32461.399194967
112 UPPER EAST COAST ROAD CAMELODGE SINGAPORE 455006,112,CAMELODGE,1.31316934203827,103.929305198346,103.929305198346,455006,UPPER EAST COAST ROAD,CAMELODGE,38682.3991062371,32829.3165860213
1 YARROW GARDENS FRANKEL ESTATE SINGAPORE 455007,1,FRANKEL ESTATE,1.31346307784466,103.922498787817,103.922498787817,455007,YARROW GARDENS,FRANKEL ESTATE,37924.9084595498,32861.7683744952
3 YARROW GARDENS FRANKEL ESTATE SINGAPORE 455008,3,FRANKEL ESTATE,1.31359131229911,103.922444710612,103.922444710612,455008,YARROW GARDENS,FRANKEL ESTATE,37918.8896709876,32875.9476838782
4 YARROW GARDENS FRANKEL ESTATE SINGAPORE 455009,4,FRANKEL ESTATE,1.31389530205468,103.922678277327,103.922678277327,455009,YARROW GARDENS,FRANKEL ESTATE,37944.8822414689,32909.5622774847
5 YARROW GARDENS FRANKEL ESTATE SINGAPORE 455010,5,FRANKEL ESTATE,1.31373966613696,103.922366728811,103.922366728811,455010,YARROW GARDENS,FRANKEL ESTATE,37910.2104477286,32892.351599263
6 YARROW GARDENS FRANKEL ESTATE SINGAPORE 455011,6,FRANKEL ESTATE,1.31400967183156,103.922627634647,103.922627634647,455011,YARROW GARDENS,FRANKEL ESTATE,37939.2457375415,32922.2085134927
7 YARROW GARDENS SINGAPORE 455012,7,NIL,1.3138596185924,103.922303403417,103.922303403417,455012,YARROW GARDENS,7 YARROW GARDENS SINGAPORE 455012,37903.1624569166,32905.615090264
8 YARROW GARDENS FRANKEL ESTATE SINGAPORE 455013,8,FRANKEL ESTATE,1.31423084865202,103.922588542624,103.922588542624,455013,YARROW GARDENS,FRANKEL ESTATE,37934.8942911299,32946.6649838015
9 YARROW GARDENS SINGAPORE 455014,9,NIL,1.31394862576791,103.92228812116,103.92228812116,455014,YARROW GARDENS,9 YARROW GARDENS SINGAPORE 455014,37901.4613356953,32915.4569975808
10 YARROW GARDENS FRANKEL ESTATE SINGAPORE 455015,10,FRANKEL ESTATE,1.3143422256609,103.922493524495,103.922493524495,455015,YARROW GARDENS,FRANKEL ESTATE,37924.3192327106,32958.9801183362
11 YARROW GARDENS SINGAPORE 455016,11,NIL,1.31404914795594,103.922237363743,103.922237363743,455016,YARROW GARDENS,11 YARROW GARDENS SINGAPORE 455016,37895.8121192148,32926.5720368288
12 YARROW GARDENS FRANKEL ESTATE SINGAPORE 455017,12,FRANKEL ESTATE,1.31454442470679,103.922397999898,103.922397999898,455017,YARROW GARDENS,FRANKEL ESTATE,37913.68745209,32981.3378974572
13 YARROW GARDENS FRANKEL ESTATE SINGAPORE 455018,13,FRANKEL ESTATE,1.31413162920891,103.922202955591,103.922202955591,455018,YARROW GARDENS,FRANKEL ESTATE,37891.9824928427,32935.6922646109
14 YARROW GARDENS FRANKEL ESTATE SINGAPORE 455019,14,FRANKEL ESTATE,1.31468065439894,103.922357608891,103.922357608891,455019,YARROW GARDENS,FRANKEL ESTATE,37909.1917787371,32996.4013346452
14A YARROW GARDENS FRANKEL ESTATE SINGAPORE 455020,14A,FRANKEL ESTATE,1.31473713652378,103.922330965453,103.922330965453,455020,YARROW GARDENS,FRANKEL ESTATE,37906.2263941038,33002.6467396021
15 YARROW GARDENS FRANKEL ESTATE SINGAPORE 455021,15,FRANKEL ESTATE,1.31425664627534,103.922169858217,103.922169858217,455021,YARROW GARDENS,FRANKEL ESTATE,37888.298576544,32949.5158949196
16 YARROW GARDENS FRANKEL ESTATE SINGAPORE 455022,16,FRANKEL ESTATE,1.31487812603044,103.922286322586,103.922286322586,455022,YARROW GARDENS,FRANKEL ESTATE,37901.2575110933,33018.2364764903
17 YARROW GARDENS FRANKEL ESTATE SINGAPORE 455023,17,FRANKEL ESTATE,1.31430243399363,103.922149316924,103.922149316924,455023,YARROW GARDENS,FRANKEL ESTATE,37886.0123449303,32954.5787902866
18 YARROW GARDENS SINGAPORE 455024,18,NIL,1.3150123216166,103.922230584075,103.922230584075,455024,YARROW GARDENS,18 YARROW GARDENS SINGAPORE 455024,37895.0538154179,33033.0749317557
19 YARROW GARDENS FRANKEL ESTATE SINGAPORE 455025,19,FRANKEL ESTATE,1.31441458463342,103.92207508839,103.92207508839,455025,YARROW GARDENS,FRANKEL ESTATE,37877.7509711869,32966.9795529488
20 YARROW GARDENS FRANKEL ESTATE SINGAPORE 455026,20,FRANKEL ESTATE,1.31519007876269,103.922120655437,103.922120655437,455026,YARROW GARDENS,FRANKEL ESTATE,37882.8191029159,33052.7299918067
21 YARROW GARDENS SINGAPORE 455027,21,NIL,1.31449806493643,103.922042702925,103.922042702925,455027,YARROW GARDENS,21 YARROW GARDENS SINGAPORE 455027,37874.1464478094,32976.2102588713
22 YARROW GARDENS FRANKEL ESTATE SINGAPORE 455028,22,FRANKEL ESTATE,1.31530809286883,103.922058565231,103.922058565231,455028,YARROW GARDENS,FRANKEL ESTATE,37875.9085892858,33065.7791552152
23 YARROW GARDENS FRANKEL ESTATE SINGAPORE 455029,23,FRANKEL ESTATE,1.3145994514742,103.922002232886,103.922002232886,455029,YARROW GARDENS,FRANKEL ESTATE,37869.6421178123,32987.4209146798
25 YARROW GARDENS FRANKEL ESTATE SINGAPORE 455030,25,FRANKEL ESTATE,1.31468001661168,103.921975053143,103.921975053143,455030,YARROW GARDENS,FRANKEL ESTATE,37866.6169539122,32996.3292968441
26 YARROW GARDENS SINGAPORE 455031,26,NIL,1.31534043264671,103.922305563077,103.922305563077,455031,YARROW GARDENS,26 YARROW GARDENS SINGAPORE 455031,37903.3969732542,33069.3561044596
27 YARROW GARDENS FRANKEL ESTATE SINGAPORE 455032,27,FRANKEL ESTATE,1.31478664833676,103.921936725884,103.921936725884,455032,YARROW GARDENS,FRANKEL ESTATE,37862.3510750905,33008.1199477576
29 YARROW GARDENS FRANKEL ESTATE SINGAPORE 455033,29,FRANKEL ESTATE,1.31486336497048,103.921889236439,103.921889236439,455033,YARROW GARDENS,FRANKEL ESTATE,37857.0656495066,33016.6027015336
31 YARROW GARDENS SINGAPORE 455034,31,NIL,1.31496724377458,103.921842981344,103.921842981344,455034,YARROW GARDENS,31 YARROW GARDENS SINGAPORE 455034,37851.9174892278,33028.0889170673
33 YARROW GARDENS FRANKEL ESTATE SINGAPORE 455035,33,FRANKEL ESTATE,1.3150383698746,103.921813385871,103.921813385871,455035,YARROW GARDENS,FRANKEL ESTATE,37848.6235153638,33035.9535683468
35 YARROW GARDENS FRANKEL ESTATE SINGAPORE 455036,35,FRANKEL ESTATE,1.31515226013073,103.921776043125,103.921776043125,455036,YARROW GARDENS,FRANKEL ESTATE,37844.4671763759,33048.5468353853
37 YARROW GARDENS FRANKEL ESTATE SINGAPORE 455037,37,FRANKEL ESTATE,1.31523409704649,103.921740668332,103.921740668332,455037,YARROW GARDENS,FRANKEL ESTATE,37840.5299775898,33057.5958123337
41 YARROW GARDENS FRANKEL ESTATE SINGAPORE 455038,41,FRANKEL ESTATE,1.31552354321956,103.921765896924,103.921765896924,455038,YARROW GARDENS,FRANKEL ESTATE,37843.3365461119,33089.6014204603
43 YARROW GARDENS FRANKEL ESTATE SINGAPORE 455039,43,FRANKEL ESTATE,1.31555237818565,103.921828091865,103.921828091865,455039,YARROW GARDENS,FRANKEL ESTATE,37850.258137824,33092.7900920082
45 YARROW GARDENS FRANKEL ESTATE SINGAPORE 455040,45,FRANKEL ESTATE,1.31560216714373,103.921935288167,103.921935288167,455040,YARROW GARDENS,FRANKEL ESTATE,37862.1878701225,33098.2959290501
47 YARROW GARDENS FRANKEL ESTATE SINGAPORE 455041,47,FRANKEL ESTATE,1.3156333625548,103.92200365453,103.92200365453,455041,YARROW GARDENS,FRANKEL ESTATE,37869.7962726541,33101.7456316911
49 YARROW GARDENS FRANKEL ESTATE SINGAPORE 455042,49,FRANKEL ESTATE,1.31568617606863,103.92211592487,103.92211592487,455042,YARROW GARDENS,FRANKEL ESTATE,37882.290684456,33107.5859299526
51 YARROW GARDENS SINGAPORE 455043,51,NIL,1.3157292318472,103.922181902104,103.922181902104,455043,YARROW GARDENS,51 YARROW GARDENS SINGAPORE 455043,37889.6331524821,33112.3470837921
53 YARROW GARDENS FRANKEL ESTATE SINGAPORE 455044,53,FRANKEL ESTATE,1.31572930706128,103.922374389511,103.922374389511,455044,YARROW GARDENS,FRANKEL ESTATE,37911.055166618,33112.3561641872
24 YARROW GARDENS SINGAPORE 455045,24,NIL,1.3153044436308,103.922229757822,103.922229757822,455045,YARROW GARDENS,24 YARROW GARDENS SINGAPORE 455045,37894.9607111001,33065.3763186205
18A YARROW GARDENS SINGAPORE 455046,18A,NIL,1.31508737561458,103.922198069124,103.922198069124,455046,YARROW GARDENS,18A YARROW GARDENS SINGAPORE 455046,37891.4349147491,33041.3738983367
6A YARROW GARDENS FRANKEL ESTATE SINGAPORE 455047,6A,FRANKEL ESTATE,1.31407969509513,103.922597352436,103.922597352436,455047,YARROW GARDENS,FRANKEL ESTATE,37935.8753370186,32929.9512150679
10A YARROW GARDENS SINGAPORE 455048,10A,NIL,1.31441014739729,103.922465483801,103.922465483801,455048,YARROW GARDENS,10A YARROW GARDENS SINGAPORE 455048,37921.1983009102,32966.4904525988
1B WOO MON CHEW ROAD POH HENG COURT SINGAPORE 455055,1B,POH HENG COURT,1.3137519651045,103.929121494681,103.929121494681,455055,WOO MON CHEW ROAD,POH HENG COURT,38661.9521449283,32893.7393560484
2 WOO MON CHEW ROAD WOO MON CHEW COURT SINGAPORE 455056,2,WOO MON CHEW COURT,1.3138194801212,103.929582304442,103.929582304442,455056,WOO MON CHEW ROAD,WOO MON CHEW COURT,38713.2356437603,32901.2068005782
3 WOO MON CHEW ROAD SINGAPORE 455057,3,NIL,1.31399737435551,103.929212167176,103.929212167176,455057,WOO MON CHEW ROAD,3 WOO MON CHEW ROAD SINGAPORE 455057,38672.0420983722,32920.8758747056
