ADDRESS,BLK_NO,BUILDING,LATITUDE,LONGITUDE,LONGTITUDE,POSTAL,ROAD_NAME,SEARCHVAL,X,Y
31 TAMPINES STREET 92 SINGAPORE 520031,31,NIL,1.33954152218999,103.943334614625,103.943334614625,520031,TAMPINES STREET 92,31 TAMPINES STREET 92 SINGAPORE 520031,40243.6121114232,35745.4867182504
101 SIMEI STREET 1 SINGAPORE 520101,101,NIL,1.34084991073361,103.951433717517,103.951433717517,520101,SIMEI STREET 1,101 SIMEI STREET 1 SINGAPORE 520101,41144.9502005428,35890.2038809266
102 SIMEI STREET 1 SINGAPORE 520102,102,NIL,1.34134724976252,103.951355074928,103.951355074928,520102,SIMEI STREET 1,102 SIMEI STREET 1 SINGAPORE 520102,41136.1954586646,35945.1967816986
103 TAMPINES STREET 11 SINGAPORE 520103,103,NIL,1.34769662535556,103.946229920882,103.946229920882,520103,TAMPINES STREET 11,103 TAMPINES STREET 11 SINGAPORE 520103,40565.787587177,36647.2527361233
104 TAMPINES STREET 11 SINGAPORE 520104,104,NIL,1.34720576651075,103.946641750013,103.946641750013,520104,TAMPINES STREET 11,104 TAMPINES STREET 11 SINGAPORE 520104,40611.6222133115,36592.9780946039
105 SIMEI STREET 1 SINGAPORE 520105,105,NIL,1.34092459427981,103.950742498791,103.950742498791,520105,SIMEI STREET 1,105 SIMEI STREET 1 SINGAPORE 520105,41068.0244528735,35898.4583233017
106 SIMEI STREET 1 SINGAPORE 520106,106,NIL,1.34188521733435,103.950833481196,103.950833481196,520106,SIMEI STREET 1,106 SIMEI STREET 1 SINGAPORE 520106,41078.1447348371,36004.6798167843
107 SIMEI STREET 1 SINGAPORE 520107,107,NIL,1.3421611396727,103.950489942022,103.950489942022,520107,SIMEI STREET 1,107 SIMEI STREET 1 SINGAPORE 520107,41039.9110047733,36035.1881282926
108 SIMEI STREET 1 SINGAPORE 520108,108,NIL,1.34301954085884,103.951007442775,103.951007442775,520108,SIMEI STREET 1,108 SIMEI STREET 1 SINGAPORE 520108,41097.4987797895,36130.1087068375
109 SIMEI STREET 1 SINGAPORE 520109,109,NIL,1.34225792802261,103.950128354135,103.950128354135,520109,SIMEI STREET 1,109 SIMEI STREET 1 SINGAPORE 520109,40999.6695993487,36045.8885869682
110 SIMEI STREET 1 SINGAPORE 520110,110,NIL,1.34275276797807,103.950195189768,103.950195189768,520110,SIMEI STREET 1,110 SIMEI STREET 1 SINGAPORE 520110,41007.1050808895,36100.6059280168
111 SIMEI STREET 1 SINGAPORE 520111,111,NIL,1.34241233534134,103.949503526295,103.949503526295,520111,SIMEI STREET 1,111 SIMEI STREET 1 SINGAPORE 520111,40930.1320848968,36062.9588822816
112 SIMEI STREET 1 SINGAPORE 520112,112,NIL,1.3431095844731,103.949559595972,103.949559595972,520112,SIMEI STREET 1,112 SIMEI STREET 1 SINGAPORE 520112,40936.3683791896,36140.0575812105
